Project Name,Package Name,Type Name,Code Smell
AndroidUtilCode,com.blankj.mock.subutil,SubUtilApiMock,Unutilized Abstraction
AndroidUtilCode,com.blankj.mock.utilcode,UtilCodeApiMock,Unutilized Abstraction
AndroidUtilCode,com.blankj.subutil.export.api,SubUtilApi,Unutilized Abstraction
AndroidUtilCode,com.blankj.subutil.pkg,SubUtilApiImpl,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.export.api,UtilCodeApi,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,Deficient Encapsulation
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,ApiBean,Deficient Encapsulation
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.pkg,OtherPkgApiImpl,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Presenter,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Model,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpPresenter,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.utilcode.pkg.feature.reflect,TestPrivateStaticFinal,Unnecessary Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.reflect,TestPrivateStaticFinal,Unutilized Abstraction
AndroidUtilCode,com.blankj.utilcode.pkg.feature.reflect,TestPrivateStaticFinal,Deficient Encapsulation
AndroidUtilCode,com.blankj.utilcode.pkg,UtilCodeApiImpl,Unutilized Abstraction
AndroidUtilCode,com.blankj.base,BaseActivity,Unutilized Abstraction
AndroidUtilCode,com.blankj.base,BaseActivity,Deficient Encapsulation
AndroidUtilCode,com.blankj.base,BaseFragment,Unutilized Abstraction
AndroidUtilCode,com.blankj.base,IBaseView,Unutilized Abstraction
AndroidUtilCode,com.blankj.base.dialog,BaseDialogFragment,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.base.dialog,DialogLayoutCallback,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.base.mvp,BaseModel,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.base.mvp,BasePresenter,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.base.mvp,BaseView,Deficient Encapsulation
AndroidUtilCode,com.blankj.base.mvp,BaseView,Cyclic-Dependent Modularization
AndroidUtilCode,com.blankj.base.rv,BaseItem,Unutilized Abstraction
AndroidUtilCode,com.blankj.base.rv,BaseItem,Deficient Encapsulation
AndroidUtilCode,com.blankj.base.rv,BaseItem,Insufficient Modularization
AndroidUtilCode,com.blankj.base.rv,BaseItemAdapter,Deficient Encapsulation
AndroidUtilCode,com.blankj.base.rv,BaseItemAdapter,Insufficient Modularization
AndroidUtilCode,com.blankj.base.rv,RecycleViewDivider,Deficient Encapsulation
