Project Name,Package Name,Type Name,Method Name,Code Smell
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,requestUpdateMsg,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,doInBackground,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,measure,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,measure,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,measure,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,run,Magic Number
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,run,Magic Number
AndroidUtilCode,com.blankj.base,BaseApplication,initLog,Long Statement
AndroidUtilCode,com.blankj.base,BaseApplication,initLog,Magic Number
AndroidUtilCode,com.blankj.base,BaseFragment,setUserVisibleHint,Complex Conditional
AndroidUtilCode,com.blankj.base,BaseFragment,onActivityCreated,Complex Conditional
AndroidUtilCode,com.blankj.common.activity,CommonActivity,initData,Complex Method
AndroidUtilCode,com.blankj.common.activity,CommonActivity,initSwipeBack,Magic Number
AndroidUtilCode,com.blankj.common.activity,CommonActivityItemsView,initView,Long Statement
AndroidUtilCode,com.blankj.common.dialog,CommonDialogContent,init,Long Parameter List
AndroidUtilCode,com.blankj.common.item,CommonItemSeekBar,CommonItemSeekBar,Abstract Function Call From Constructor
AndroidUtilCode,com.blankj.common.view,RotateView,initAnimator,Magic Number
AndroidUtilCode,com.blankj.common.view,RotateView,initAnimator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,AppStoreUtils,getAppStoreIntent,Complex Method
AndroidUtilCode,com.blankj.subutil.util,AppStoreUtils,getAppStoreIntent,Long Identifier
AndroidUtilCode,com.blankj.subutil.util,AppStoreUtils,getAppStoreIntent,Long Statement
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,BitUtils,main,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,bd09ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,bd09ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,bd09ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,bd09ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToBd09,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToBd09,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToBd09,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToBd09,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,gcj02ToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToGcj02,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,mercatorToWGS84,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,wgs84ToMercator,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,transformLat,Magic Number
