Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
AndroidUtilCode,com.blankj.launcher.app,LauncherApp,getInstance,3,1,0
AndroidUtilCode,com.blankj.launcher.app,LauncherApp,onCreate,4,1,0
AndroidUtilCode,com.blankj.main.app,MainApp,getInstance,3,1,0
AndroidUtilCode,com.blankj.main.app,MainApp,attachBaseContext,3,1,1
AndroidUtilCode,com.blankj.main.app,MainApp,onCreate,4,1,0
AndroidUtilCode,com.blankj.mock.subutil,SubUtilApiMock,startSubUtilActivity,3,1,1
AndroidUtilCode,com.blankj.mock.utilcode,UtilCodeApiMock,startUtilCodeActivity,3,1,1
AndroidUtilCode,com.blankj.mock.utilcode,UtilCodeApiMock,testCallback,5,2,1
AndroidUtilCode,com.blankj.subutil.export.api,SubUtilApi,startSubUtilActivity,0,1,1
AndroidUtilCode,com.blankj.subutil.pkg,SubUtilApiImpl,startSubUtilActivity,3,1,1
AndroidUtilCode,com.blankj.utilcode.export.api,UtilCodeApi,startUtilCodeActivity,0,1,1
AndroidUtilCode,com.blankj.utilcode.export.api,UtilCodeApi,testCallback,0,1,1
AndroidUtilCode,com.blankj.utilcode.export.api,UtilCodeApi,call,0,1,0
AndroidUtilCode,com.blankj.utilcode.export.api,Callback,call,0,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,invokeWithParams,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,invokeWithReturnValue,0,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,ApiBean,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,ApiBean,ApiBean,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.pkg,OtherPkgApiImpl,invokeWithParams,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.pkg,OtherPkgApiImpl,invokeWithReturnValue,4,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpActivity,start,4,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpActivity,bindTitleRes,3,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpActivity,bindLayout,3,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpActivity,initView,4,1,2
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,onCreate,3,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,requestUpdateMsg,12,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,doInBackground,4,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,onSuccess,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,onDestroy,3,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpMvp,setLoadingVisible,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpMvp,showMsg,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpMvp,updateMsg,0,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpMvp,requestUpdateMsg,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,View,setLoadingVisible,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,View,showMsg,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Presenter,updateMsg,0,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Model,requestUpdateMsg,0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpPresenter,onBindView,2,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpPresenter,updateMsg,15,2,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpPresenter,accept,9,2,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,MvpView,13,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,onClick,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,measure,12,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,run,7,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,setLoadingVisible,14,2,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,run,3,1,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,showMsg,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg,UtilCodeApiImpl,startUtilCodeActivity,3,1,1
AndroidUtilCode,com.blankj.utilcode.pkg,UtilCodeApiImpl,testCallback,5,2,1
AndroidUtilCode,com.blankj.base,BaseActivity,onClick,3,1,1
AndroidUtilCode,com.blankj.base,BaseActivity,onCreate,8,1,1
AndroidUtilCode,com.blankj.base,BaseActivity,setContentView,5,2,0
AndroidUtilCode,com.blankj.base,BaseActivity,applyDebouncingClickListener,4,1,1
AndroidUtilCode,com.blankj.base,BaseApplication,getInstance,3,1,0
AndroidUtilCode,com.blankj.base,BaseApplication,attachBaseContext,4,1,1
AndroidUtilCode,com.blankj.base,BaseApplication,onCreate,7,1,0
AndroidUtilCode,com.blankj.base,BaseApplication,initLog,9,1,0
AndroidUtilCode,com.blankj.base,BaseApplication,format,3,1,1
AndroidUtilCode,com.blankj.base,BaseApplication,initCrash,10,1,0
