Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
AndroidUtilCode,com.blankj.launcher.app,LauncherApp,1,0,2,2,13,2,0,0,0.0,1,1
AndroidUtilCode,com.blankj.main.app,MainApp,1,0,3,2,16,3,0,0,0.6666666666666666,1,1
AndroidUtilCode,com.blankj.mock.subutil,SubUtilApiMock,0,0,1,1,8,1,0,0,-1.0,0,1
AndroidUtilCode,com.blankj.mock.utilcode,UtilCodeApiMock,0,0,2,2,13,3,0,0,-1.0,0,2
AndroidUtilCode,com.blankj.subutil.export.api,SubUtilApi,0,0,1,1,6,1,0,0,-1.0,0,1
AndroidUtilCode,com.blankj.subutil.pkg,SubUtilApiImpl,0,0,1,1,8,1,0,0,-1.0,0,0
AndroidUtilCode,com.blankj.utilcode.export.api,UtilCodeApi,0,0,3,2,10,3,0,0,-1.0,0,2
AndroidUtilCode,com.blankj.utilcode.export.api,Callback,0,0,1,0,3,1,0,0,-1.0,3,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,OtherModuleApi,1,1,3,3,13,3,0,0,1.0,0,2
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.export,ApiBean,1,1,1,1,6,1,0,0,0.0,2,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.api.other.pkg,OtherPkgApiImpl,0,0,2,2,12,2,0,0,-1.0,0,2
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpActivity,0,0,4,4,19,4,0,0,-1.0,1,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpModel,1,0,5,5,24,5,0,1,0.6,1,3
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpMvp,0,0,4,0,15,4,3,0,-1.0,3,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,View,0,0,2,0,4,2,0,0,-1.0,2,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Presenter,0,0,1,0,3,1,0,0,-1.0,0,0
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,Model,0,0,1,0,3,1,0,0,-1.0,0,1
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpPresenter,0,0,3,3,22,5,0,1,-1.0,1,4
AndroidUtilCode,com.blankj.utilcode.pkg.feature.mvp,MvpView,3,0,7,6,50,8,0,1,0.7142857142857143,1,9
AndroidUtilCode,com.blankj.utilcode.pkg.feature.reflect,TestPrivateStaticFinal,1,1,0,0,6,0,0,0,-1.0,0,0
AndroidUtilCode,com.blankj.utilcode.pkg,UtilCodeApiImpl,0,0,2,2,13,3,0,0,-1.0,0,1
AndroidUtilCode,com.blankj.base,BaseActivity,3,2,4,3,30,5,0,1,0.75,0,1
AndroidUtilCode,com.blankj.base,BaseApplication,3,0,10,6,52,12,0,0,0.5,1,6
AndroidUtilCode,com.blankj.base,BaseFragment,9,0,16,15,119,27,0,1,0.1875,0,2
AndroidUtilCode,com.blankj.base,IBaseView,0,0,6,0,11,6,2,0,-1.0,0,0
AndroidUtilCode,com.blankj.base.dialog,BaseDialog,1,0,10,9,47,15,0,0,0.6,1,3
AndroidUtilCode,com.blankj.base.dialog,BaseDialogFragment,4,0,14,13,107,31,0,0,0.0,3,5
AndroidUtilCode,com.blankj.base.dialog,DialogCallback,0,0,2,0,7,2,0,0,-1.0,1,0
AndroidUtilCode,com.blankj.base.dialog,DialogLayoutCallback,0,0,6,0,11,6,0,0,-1.0,1,1
AndroidUtilCode,com.blankj.base.mvp,BaseModel,1,0,2,2,10,2,0,0,1.0,1,1
AndroidUtilCode,com.blankj.base.mvp,BasePresenter,4,0,6,5,49,9,0,0,0.3333333333333333,1,2
AndroidUtilCode,com.blankj.base.mvp,BaseView,5,1,10,8,77,19,0,0,0.0,2,1
AndroidUtilCode,com.blankj.base.rv,BaseItem,7,1,26,20,122,35,0,0,0.23076923076923078,0,4
AndroidUtilCode,com.blankj.base.rv,OnItemClickListener,0,0,1,0,3,1,0,0,-1.0,1,1
AndroidUtilCode,com.blankj.base.rv,OnItemLongClickListener,0,0,1,0,3,1,0,0,-1.0,1,1
AndroidUtilCode,com.blankj.base.rv,BaseItemAdapter,2,1,52,52,221,74,0,0,0.19230769230769232,4,1
AndroidUtilCode,com.blankj.base.rv,ItemViewHolder,1,0,4,4,23,5,0,0,0.5,10,0
AndroidUtilCode,com.blankj.base.rv,RecycleViewDivider,6,2,9,6,100,19,0,0,0.4444444444444444,3,0
AndroidUtilCode,com.blankj.base.view,EmptyGoneTextView,0,0,3,2,21,4,0,0,-1.0,0,1
AndroidUtilCode,com.blankj.common.activity,CommonActivity,6,1,28,27,178,46,0,0,0.21428571428571427,0,7
AndroidUtilCode,com.blankj.common.activity,CommonActivityDrawerView,4,3,5,4,37,7,0,0,0.6,1,2
AndroidUtilCode,com.blankj.common.activity,CommonActivityItemsView,4,3,5,5,31,5,0,0,0.4,2,2
AndroidUtilCode,com.blankj.common.activity,CommonActivityTitleView,7,7,9,8,63,12,0,0,0.5555555555555556,1,2
AndroidUtilCode,com.blankj.common,CommonApplication,0,0,1,1,8,1,0,0,-1.0,0,0
AndroidUtilCode,com.blankj.common.dialog,CommonDialogContent,7,0,9,9,78,19,0,0,0.8888888888888888,0,2
AndroidUtilCode,com.blankj.common.dialog,CommonDialogLoading,0,0,7,7,36,11,0,0,-1.0,1,2
AndroidUtilCode,com.blankj.common.fragment,CommonFragment,2,0,13,13,63,17,0,0,0.38461538461538464,0,3
AndroidUtilCode,com.blankj.common.item,CommonItem,1,0,4,4,19,4,5,0,0.5,0,1
AndroidUtilCode,com.blankj.common.item,CommonItemClick,3,0,22,22,94,25,0,1,0.7727272727272727,1,5
AndroidUtilCode,com.blankj.common.item,CommonItemImage,2,0,3,3,22,3,0,1,0.6666666666666666,0,3
AndroidUtilCode,com.blankj.common.item,CommonItemSeekBar,5,0,12,12,67,12,0,1,0.5,0,3
AndroidUtilCode,com.blankj.common.item,ProgressListener,0,0,3,3,7,3,0,0,-1.0,1,0
AndroidUtilCode,com.blankj.common.item,CommonItemSwitch,5,0,7,7,54,7,0,1,0.42857142857142855,0,4
AndroidUtilCode,com.blankj.common.item,CommonItemTitle,4,0,10,10,70,15,0,1,0.2,0,3
AndroidUtilCode,com.blankj.common.view,RotateView,1,0,5,3,35,7,0,0,0.8,0,0
AndroidUtilCode,com.blankj.subutil.util,AppStoreUtils,2,0,7,4,98,18,0,0,0.0,1,4
AndroidUtilCode,com.blankj.subutil.util,BatteryUtils,9,0,21,15,149,35,0,0,0.3333333333333333,1,7
AndroidUtilCode,com.blankj.subutil.util,BatteryChangedReceiver,2,0,8,4,55,18,0,0,0.0,3,5
AndroidUtilCode,com.blankj.subutil.util,LazyHolder,1,0,0,0,3,0,0,0,-1.0,2,1
AndroidUtilCode,com.blankj.subutil.util,OnBatteryStatusChangedListener,0,0,1,0,3,1,0,0,-1.0,2,1
AndroidUtilCode,com.blankj.subutil.util,Status,2,0,7,6,38,11,0,0,0.0,3,1
AndroidUtilCode,com.blankj.subutil.util,BitUtils,0,0,6,5,72,10,0,0,-1.0,1,1
AndroidUtilCode,com.blankj.subutil.util,CameraUtils,0,0,0,0,5,0,0,0,-1.0,0,0
AndroidUtilCode,com.blankj.subutil.util,CoordinateUtils,3,0,11,8,141,13,0,0,0.2727272727272727,2,1
AndroidUtilCode,com.blankj.subutil.util,CountryUtils,1,0,5,4,301,9,0,0,0.0,1,2
AndroidUtilCode,com.blankj.subutil.util,DangerousUtils,0,0,20,15,229,36,0,0,-1.0,1,4
AndroidUtilCode,com.blankj.subutil.util,HttpsUtil,2,0,5,4,107,11,0,0,0.0,1,1
AndroidUtilCode,com.blankj.subutil.util,LocationUtils,4,0,20,15,243,40,0,0,0.6,1,4
AndroidUtilCode,com.blankj.subutil.util,MyLocationListener,0,0,4,4,43,9,0,0,-1.0,1,0
AndroidUtilCode,com.blankj.subutil.util,OnLocationChangeListener,0,0,3,0,19,3,0,0,-1.0,1,0
AndroidUtilCode,com.blankj.subutil.util,LunarUtils,9,7,13,7,152,22,0,0,0.3076923076923077,2,3
