Project Name,Package Name,Type Name,Code Smell
Intra,app.intra.ui.settings,AppInfoTest,Unutilized Abstraction
Intra,app.intra.ui.settings,AppInfo,Deficient Encapsulation
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,Unutilized Abstraction
Intra,app.intra.ui.settings,UntemplateTest,Unutilized Abstraction
Intra,app.intra.net.dns,DnsQuestion,Unnecessary Abstraction
Intra,app.intra.net.dns,DnsQuestion,Unutilized Abstraction
Intra,app.intra.net.dns,DnsRecord,Unnecessary Abstraction
Intra,app.intra.net.dns,DnsRecord,Broken Modularization
Intra,app.intra.net.dns,DnsPacketTest,Unutilized Abstraction
Intra,app.intra.net.doh,Callback,Unutilized Abstraction
Intra,app.intra.net.doh,Callback,Broken Hierarchy
Intra,app.intra.net.doh,Transaction,Deficient Encapsulation
Intra,app.intra.net.doh,RaceTest,Unutilized Abstraction
Intra,app.intra.net.doh,SuccessProber,Unutilized Abstraction
Intra,app.intra.net.doh,FailProber,Unutilized Abstraction
Intra,app.intra.net.doh,HalfProber,Unutilized Abstraction
Intra,app.intra.net.go,GoIntraListener,Cyclic-Dependent Modularization
Intra,app.intra.net.go,GoProber,Unutilized Abstraction
Intra,app.intra.net.go,GoVpnAdapter,Deficient Encapsulation
Intra,app.intra.net.go,GoVpnAdapter,Cyclic-Dependent Modularization
Intra,app.intra.sys,AutoStarter,Unutilized Abstraction
Intra,app.intra.sys,IntraTileService,Unutilized Abstraction
Intra,app.intra.sys,IntraVpnService,Cyclic-Dependent Modularization
Intra,app.intra.sys,PersistentState,Deficient Encapsulation
Intra,app.intra.sys,VpnController,Cyclic-Dependent Modularization
Intra,app.intra.sys,VpnState,Deficient Encapsulation
Intra,app.intra.sys.firebase,RemoteConfigTest,Unutilized Abstraction
Intra,app.intra.ui,ButtonVisibilityUpdater,Unutilized Abstraction
Intra,app.intra.ui,MainActivity,Deficient Encapsulation
Intra,app.intra.ui,MainActivity,Cyclic-Dependent Modularization
Intra,app.intra.ui,MainActivity,Insufficient Modularization
Intra,app.intra.ui,PadNavigationView,Unutilized Abstraction
Intra,app.intra.ui,RecyclerAdapter,Missing Hierarchy
Intra,app.intra.ui,RecyclerAdapter,Cyclic-Dependent Modularization
Intra,app.intra.ui,ControlViewHolder,Unutilized Abstraction
Intra,app.intra.ui,TransactionViewHolder,Unutilized Abstraction
