Project Name,Package Name,Type Name,Method Name,Code Smell
Intra,app.intra.ui.settings,AppInfo,createFromParcel,Magic Number
Intra,app.intra.ui.settings,ServerChooser,updateSummary,Empty catch clause
Intra,app.intra.ui.settings,ServerChooserFragment,checkUrl,Long Statement
Intra,app.intra.ui.settings,SettingsFragment,getAppList,Empty catch clause
Intra,app.intra.net.dns,DnsPacket,readName,Magic Number
Intra,app.intra.net.dns,DnsPacket,readName,Magic Number
Intra,app.intra.net.dns,DnsPacket,readName,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,DnsPacket,Magic Number
Intra,app.intra.net.dns,DnsPacket,getResponseAddresses,Empty catch clause
Intra,app.intra.net.dns,DnsPacketTest,testQuery,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testQuery,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testQuery,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Long Statement
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
Intra,app.intra.net.dns,DnsPacketTest,testResponse,Magic Number
