Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Intra,app.intra.ui.settings,AppInfoTest,compareToEqual,6,1,0
Intra,app.intra.ui.settings,AppInfoTest,compareToUnequal,12,1,0
Intra,app.intra.ui.settings,AppInfoTest,verifyParcelSerializationRoundtrip,12,1,1
Intra,app.intra.ui.settings,AppInfoTest,writeToParcel,4,1,0
Intra,app.intra.ui.settings,AppInfo,AppInfo,4,1,2
Intra,app.intra.ui.settings,AppInfo,compareTo,15,5,1
Intra,app.intra.ui.settings,AppInfo,describeContents,3,1,0
Intra,app.intra.ui.settings,AppInfo,writeToParcel,3,1,2
Intra,app.intra.ui.settings,AppInfo,createFromParcel,7,2,1
Intra,app.intra.ui.settings,AppInfo,newArray,3,1,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,ServerApprovalDialogFragment,3,1,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,ServerApprovalDialogFragment,4,1,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,ServerApprovalDialogFragment,5,1,2
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,getArgs,7,2,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,setIndex,5,1,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,getIndex,3,1,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,setShowWebsite,5,1,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,getShowWebsite,3,1,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,makeWebView,9,1,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,makeNoticeText,12,2,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,getHostForAnalytics,5,1,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,onCreateDialog,23,2,1
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,onCancel,3,1,1
Intra,app.intra.ui.settings,ServerChooser,ServerChooser,4,1,1
Intra,app.intra.ui.settings,ServerChooser,ServerChooser,4,1,2
Intra,app.intra.ui.settings,ServerChooser,ServerChooser,4,1,3
Intra,app.intra.ui.settings,ServerChooser,ServerChooser,4,1,4
Intra,app.intra.ui.settings,ServerChooser,initialize,7,1,1
Intra,app.intra.ui.settings,ServerChooser,onSetInitialValue,4,1,1
Intra,app.intra.ui.settings,ServerChooser,onGetDefaultValue,3,1,2
Intra,app.intra.ui.settings,ServerChooser,getUrl,3,1,0
Intra,app.intra.ui.settings,ServerChooser,setUrl,5,1,1
Intra,app.intra.ui.settings,ServerChooser,updateSummary,16,2,1
Intra,app.intra.ui.settings,ServerChooserFragment,newInstance,7,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,getUrl,7,2,0
Intra,app.intra.ui.settings,ServerChooserFragment,updateUI,14,2,0
Intra,app.intra.ui.settings,ServerChooserFragment,onCheckedChanged,3,1,2
Intra,app.intra.ui.settings,ServerChooserFragment,beforeTextChanged,2,1,4
Intra,app.intra.ui.settings,ServerChooserFragment,onTextChanged,2,1,4
Intra,app.intra.ui.settings,ServerChooserFragment,afterTextChanged,3,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,checkUrl,9,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,onEditorAction,12,3,3
Intra,app.intra.ui.settings,ServerChooserFragment,onItemSelected,3,1,4
Intra,app.intra.ui.settings,ServerChooserFragment,onBuiltinServerSelected,14,2,1
Intra,app.intra.ui.settings,ServerChooserFragment,onNothingSelected,3,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,onBindDialogView,31,2,1
Intra,app.intra.ui.settings,ServerChooserFragment,onDialogClosed,9,2,1
Intra,app.intra.ui.settings,ServerChooserFragment,onViewStateRestored,4,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,setValid,7,2,1
Intra,app.intra.ui.settings,SettingsFragment,doInBackground,16,4,1
Intra,app.intra.ui.settings,SettingsFragment,onSaveInstanceState,6,2,1
Intra,app.intra.ui.settings,SettingsFragment,onCreatePreferences,11,3,2
Intra,app.intra.ui.settings,SettingsFragment,onDisplayPreferenceDialog,22,4,1
Intra,app.intra.ui.settings,SettingsFragment,collectInstalledApps,4,1,1
Intra,app.intra.ui.settings,SettingsFragment,getAppList,16,3,0
Intra,app.intra.ui.settings,AppEnumerationTask,doInBackground,16,4,1
Intra,app.intra.ui.settings,Untemplate,strip,3,1,1
Intra,app.intra.ui.settings,UntemplateTest,assertUnmodified,3,1,1
Intra,app.intra.ui.settings,UntemplateTest,testUnmodified,4,1,0
Intra,app.intra.ui.settings,UntemplateTest,testTemplateBasic,4,1,0
Intra,app.intra.ui.settings,UntemplateTest,testTemplateWeird,3,1,0
Intra,app.intra.net.dns,DnsPacket,readName,29,4,1
Intra,app.intra.net.dns,DnsPacket,readRecords,14,2,2
Intra,app.intra.net.dns,DnsPacket,getBit,3,1,2
Intra,app.intra.net.dns,DnsPacket,getBits,4,1,3
Intra,app.intra.net.dns,DnsPacket,DnsPacket,47,2,1
Intra,app.intra.net.dns,DnsPacket,getId,3,1,0
Intra,app.intra.net.dns,DnsPacket,isNormalQuery,3,1,0
Intra,app.intra.net.dns,DnsPacket,isResponse,3,1,0
Intra,app.intra.net.dns,DnsPacket,getQueryName,6,2,0
Intra,app.intra.net.dns,DnsPacket,getQueryType,6,2,0
Intra,app.intra.net.dns,DnsPacket,getResponseAddresses,15,4,0
Intra,app.intra.net.dns,DnsPacketTest,testQuery,10,1,0
Intra,app.intra.net.dns,DnsPacketTest,testResponse,11,1,0
Intra,app.intra.net.dns,DnsPacketTest,testNXDOMAIN,10,1,0
Intra,app.intra.net.dns,DnsPacketTest,testEmpty,9,1,0
Intra,app.intra.net.dns,DnsPacketTest,testTruncated,12,2,0
Intra,app.intra.net.dns,DnsPacketTest,testCompression,10,1,0
Intra,app.intra.net.dns,DnsPacketTest,testInfiniteLoop,10,1,0
Intra,app.intra.net.doh,Prober,onCompleted,0,1,1
Intra,app.intra.net.doh,Prober,probe,0,1,2
Intra,app.intra.net.doh,Callback,onCompleted,0,1,1
Intra,app.intra.net.doh,Race,onResult,0,1,1
Intra,app.intra.net.doh,Race,start,4,1,3
Intra,app.intra.net.doh,Race,start,6,2,3
Intra,app.intra.net.doh,Race,Collector,4,1,2
Intra,app.intra.net.doh,Race,onCompleted,14,4,2
Intra,app.intra.net.doh,Race,Callback,4,1,2
Intra,app.intra.net.doh,Race,onCompleted,3,1,1
Intra,app.intra.net.doh,Listener,onResult,0,1,1
Intra,app.intra.net.doh,Collector,Collector,4,1,2
Intra,app.intra.net.doh,Collector,onCompleted,14,4,2
Intra,app.intra.net.doh,Callback,Callback,4,1,2
Intra,app.intra.net.doh,Callback,onCompleted,3,1,1
Intra,app.intra.net.doh,Transaction,Transaction,5,1,2
Intra,app.intra.net.doh,RaceTest,probe,3,1,2
Intra,app.intra.net.doh,RaceTest,Success,15,2,0
Intra,app.intra.net.doh,RaceTest,probe,3,1,2
Intra,app.intra.net.doh,RaceTest,AllFail,14,2,0
Intra,app.intra.net.doh,RaceTest,probe,5,1,2
Intra,app.intra.net.doh,RaceTest,HalfFail,16,2,0
Intra,app.intra.net.doh,SuccessProber,probe,3,1,2
Intra,app.intra.net.doh,FailProber,probe,3,1,2
Intra,app.intra.net.doh,HalfProber,probe,5,1,2
Intra,app.intra.net.go,GoIntraListener,GoIntraListener,4,1,1
Intra,app.intra.net.go,GoIntraListener,onTCPSocketClosed,11,3,1
Intra,app.intra.net.go,GoIntraListener,onUDPSocketClosed,7,2,1
Intra,app.intra.net.go,GoIntraListener,Metric,3,1,1
Intra,app.intra.net.go,GoIntraListener,onQuery,5,1,1
Intra,app.intra.net.go,GoIntraListener,len,3,1,1
Intra,app.intra.net.go,GoIntraListener,onResponse,26,2,2
Intra,app.intra.net.go,Metric,Metric,3,1,1
Intra,app.intra.net.go,GoProber,GoProber,3,1,1
Intra,app.intra.net.go,GoProber,probe,23,3,2
Intra,app.intra.net.go,GoVpnAdapter,LanIp,3,1,1
Intra,app.intra.net.go,GoVpnAdapter,make,3,1,1
Intra,app.intra.net.go,GoVpnAdapter,establish,7,2,1
Intra,app.intra.net.go,GoVpnAdapter,GoVpnAdapter,4,1,2
Intra,app.intra.net.go,GoVpnAdapter,start,3,1,0
Intra,app.intra.net.go,GoVpnAdapter,connectTunnel,21,3,0
Intra,app.intra.net.go,GoVpnAdapter,enableChoir,18,3,0
