Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Intra,app.intra.ui.settings,AppInfoTest,8,0,4,3,42,4,0,0,0.0,0,1
Intra,app.intra.ui.settings,AppInfo,3,1,6,5,45,11,0,0,0.6666666666666666,2,0
Intra,app.intra.ui.settings,ServerApprovalDialogFragment,2,0,13,4,106,16,0,0,0.15384615384615385,0,2
Intra,app.intra.ui.settings,ServerChooser,2,0,10,6,61,11,0,0,0.2,1,1
Intra,app.intra.ui.settings,ServerChooserFragment,9,0,16,9,144,24,0,0,0.25,2,4
Intra,app.intra.ui.settings,SettingsFragment,4,0,6,4,97,17,0,0,0.3333333333333333,1,5
Intra,app.intra.ui.settings,AppEnumerationTask,0,0,1,0,21,4,0,0,-1.0,1,0
Intra,app.intra.ui.settings,Untemplate,0,0,1,1,13,1,0,0,-1.0,3,0
Intra,app.intra.ui.settings,UntemplateTest,0,0,4,3,16,4,0,0,-1.0,0,1
Intra,app.intra.net.dns,DnsPacket,24,0,11,7,166,21,0,0,0.0,6,2
Intra,app.intra.net.dns,DnsQuestion,3,0,0,0,5,0,0,0,-1.0,0,0
Intra,app.intra.net.dns,DnsRecord,5,0,0,0,7,0,0,0,-1.0,1,0
Intra,app.intra.net.dns,DnsPacketTest,0,0,7,7,74,8,0,0,-1.0,0,1
Intra,app.intra.net.doh,Prober,1,0,2,1,15,2,4,0,1.0,2,1
Intra,app.intra.net.doh,Callback,0,0,1,0,3,1,0,0,-1.0,6,0
Intra,app.intra.net.doh,Race,6,0,7,2,63,11,0,0,0.0,3,4
Intra,app.intra.net.doh,Listener,0,0,1,0,7,1,0,0,-1.0,2,0
Intra,app.intra.net.doh,Collector,4,0,2,0,24,5,0,0,0.0,2,1
Intra,app.intra.net.doh,Callback,2,0,2,1,11,2,0,1,0.0,0,2
Intra,app.intra.net.doh,Transaction,8,8,1,1,19,1,0,0,0.0,5,1
Intra,app.intra.net.doh,RaceTest,0,0,6,6,64,9,0,0,-1.0,0,2
Intra,app.intra.net.doh,SuccessProber,0,0,1,1,5,1,0,1,-1.0,0,1
Intra,app.intra.net.doh,FailProber,0,0,1,1,5,1,0,1,-1.0,0,1
Intra,app.intra.net.doh,HalfProber,0,0,1,1,7,1,0,1,-1.0,0,1
Intra,app.intra.net.go,GoIntraListener,5,0,7,4,79,11,0,0,0.0,2,6
Intra,app.intra.net.go,Metric,1,0,1,0,6,1,0,0,0.0,1,0
Intra,app.intra.net.go,GoProber,1,0,2,2,32,4,0,0,0.0,0,3
Intra,app.intra.net.go,GoVpnAdapter,12,1,13,4,178,29,0,0,0.15384615384615385,3,9
Intra,app.intra.sys,ActivityReceiver,0,0,1,0,9,1,0,0,-1.0,1,0
Intra,app.intra.sys,AutoStarter,1,0,1,1,25,4,0,0,0.0,0,4
Intra,app.intra.sys,CountryCode,2,0,4,3,40,6,0,0,0.0,3,2
Intra,app.intra.sys,IntraTileService,0,0,3,3,36,7,0,0,-1.0,0,2
Intra,app.intra.sys,IntraVpnService,12,0,25,14,277,52,0,1,0.12,6,8
Intra,app.intra.sys,NetworkManager,6,0,8,2,99,19,0,0,0.375,3,3
Intra,app.intra.sys,NetworkListener,0,0,2,0,4,2,1,0,-1.0,1,0
Intra,app.intra.sys,PersistentState,8,2,15,8,115,24,0,0,0.13333333333333333,10,3
Intra,app.intra.sys,QueryTracker,7,0,9,7,78,18,0,0,0.0,4,3
Intra,app.intra.sys,VpnController,4,0,12,8,76,19,0,0,0.4166666666666667,9,4
Intra,app.intra.sys,VpnState,3,3,1,0,10,1,0,0,0.0,3,1
Intra,app.intra.sys.firebase,AnalyticsWrapper,5,0,17,14,140,22,0,0,0.11764705882352941,6,4
Intra,app.intra.sys.firebase,BundleBuilder,1,0,4,0,22,4,0,0,0.0,1,0
Intra,app.intra.sys.firebase,LogWrapper,0,0,2,2,27,4,0,0,-1.0,10,0
Intra,app.intra.sys.firebase,RemoteConfig,0,0,4,3,36,4,0,0,-1.0,5,2
Intra,app.intra.sys.firebase,RemoteConfigTest,0,0,1,1,12,1,0,0,-1.0,0,1
Intra,app.intra.ui,CountryMap,2,0,4,0,58,11,0,0,0.0,2,1
Intra,app.intra.ui,HistoryGraph,15,0,10,3,156,23,0,0,0.2,2,3
Intra,app.intra.ui,IntroDialog,12,0,13,9,123,19,0,0,0.38461538461538464,1,5
Intra,app.intra.ui,Page,3,0,2,1,25,2,0,0,0.0,3,1
Intra,app.intra.ui,Adapter,4,0,3,2,19,4,0,0,0.0,1,1
Intra,app.intra.ui,ButtonVisibilityUpdater,3,0,2,1,14,2,0,0,0.0,0,0
Intra,app.intra.ui,MainActivity,16,1,46,12,564,117,0,0,0.08695652173913043,2,15
Intra,app.intra.ui,PadNavigationView,0,0,4,3,17,4,0,0,-1.0,0,0
Intra,app.intra.ui,RecyclerAdapter,29,0,20,8,287,42,0,0,0.25,3,7
Intra,app.intra.ui,ControlViewHolder,1,0,1,0,7,1,0,0,0.0,0,0
Intra,app.intra.ui,TransactionViewHolder,12,0,4,2,59,6,0,0,0.5,0,2
Intra,app.intra.ui,Transaction,9,0,6,0,132,18,0,0,0.0,3,2
Intra,app.intra.ui,Rtl,0,0,1,0,16,2,0,0,-1.0,1,0
