Project Name,Package Name,Type Name,Code Smell
priam,com.netflix.priam.aws.auth,S3InstanceCredential,Unutilized Abstraction
priam,com.netflix.priam.aws,AWSMembership,Unutilized Abstraction
priam,com.netflix.priam.aws,S3EncryptedFileSystem,Unutilized Abstraction
priam,com.netflix.priam.aws,S3EncryptedFileSystem,Broken Hierarchy
priam,com.netflix.priam.aws,S3FileSystem,Unutilized Abstraction
priam,com.netflix.priam.aws,S3FileSystem,Broken Hierarchy
priam,com.netflix.priam.aws,S3FileSystemBase,Unutilized Abstraction
priam,com.netflix.priam.aws,S3Iterator,Unutilized Abstraction
priam,com.netflix.priam.aws,SDBInstanceData,Deficient Encapsulation
priam,com.netflix.priam.aws,Attributes,Deficient Encapsulation
priam,com.netflix.priam.aws,Attributes,Broken Modularization
priam,com.netflix.priam.aws,SDBInstanceFactory,Unutilized Abstraction
priam,com.netflix.priam.aws,UpdateCleanupPolicy,Deficient Encapsulation
priam,com.netflix.priam.aws,TestRemoteBackupPath,Unutilized Abstraction
priam,com.netflix.priam.backup,AbstractBackup,Deficient Encapsulation
priam,com.netflix.priam.backup,AbstractBackupPath,Deficient Encapsulation
priam,com.netflix.priam.backup,AbstractBackupPath,Insufficient Modularization
priam,com.netflix.priam.backup,BackupFileSystemContext,Unutilized Abstraction
priam,com.netflix.priam.backup,BackupRestoreException,Unutilized Abstraction
priam,com.netflix.priam.backup,BackupStatusMgr,Unutilized Abstraction
priam,com.netflix.priam.backup,BackupVerificationResult,Deficient Encapsulation
priam,com.netflix.priam.backup,CommitLogBackupTask,Deficient Encapsulation
priam,com.netflix.priam.backup,CommitLogBackupTask,Broken Hierarchy
priam,com.netflix.priam.backup,FileSnapshotStatusMgr,Unutilized Abstraction
priam,com.netflix.priam.backup,IncrementalBackup,Deficient Encapsulation
priam,com.netflix.priam.backup,IncrementalBackup,Broken Hierarchy
priam,com.netflix.priam.backup,RangeReadInputStream,Unutilized Abstraction
priam,com.netflix.priam.backup,SnapshotBackup,Deficient Encapsulation
priam,com.netflix.priam.backup,SnapshotBackup,Broken Hierarchy
priam,com.netflix.priam.backup,SnapshotDirectorySize,Unutilized Abstraction
priam,com.netflix.priam.backup,BRTestModule,Unutilized Abstraction
priam,com.netflix.priam.backup,FakeBackupFileSystem,Deficient Encapsulation
priam,com.netflix.priam.backup,TestAbstractFileSystem,Unutilized Abstraction
priam,com.netflix.priam.backup,FailureFileSystem,Unutilized Abstraction
priam,com.netflix.priam.backup,FailureFileSystem,Broken Hierarchy
priam,com.netflix.priam.backup,MyFileSystem,Unutilized Abstraction
priam,com.netflix.priam.backup,MyFileSystem,Broken Hierarchy
priam,com.netflix.priam.backup,MockNodeProbe,Unutilized Abstraction
priam,com.netflix.priam.backup,TestBackupDynamicRateLimiter,Unutilized Abstraction
priam,com.netflix.priam.backup,FakeDirectorySize,Unutilized Abstraction
priam,com.netflix.priam.backup,TestBackupFile,Unutilized Abstraction
priam,com.netflix.priam.backup,TestBackupHelperImpl,Unutilized Abstraction
priam,com.netflix.priam.backup,ParameterizedTests,Unutilized Abstraction
priam,com.netflix.priam.backup,ProgrammaticTests,Unutilized Abstraction
priam,com.netflix.priam.backup,TestBackupService,Unutilized Abstraction
priam,com.netflix.priam.backup,TestBackupStatusMgr,Unutilized Abstraction
priam,com.netflix.priam.backup,MockMetaV1Proxy,Unutilized Abstraction
priam,com.netflix.priam.backup,MockMetaV2Proxy,Unutilized Abstraction
priam,com.netflix.priam.backup,TestCompression,Unutilized Abstraction
priam,com.netflix.priam.backup,TestCustomizedTPE,Unutilized Abstraction
priam,com.netflix.priam.backup,TestFileIterator,Cyclic-Dependent Modularization
priam,com.netflix.priam.backup,MockObjectListing,Cyclic-Dependent Modularization
priam,com.netflix.priam.backup,TestS3FileSystem,Unutilized Abstraction
priam,com.netflix.priam.backup,TestS3FileSystem,Insufficient Modularization
priam,com.netflix.priam.backup,MockAmazonS3Client,Unutilized Abstraction
priam,com.netflix.priam.backupv2,BackupTTLTask,Deficient Encapsulation
priam,com.netflix.priam.backupv2,MetaFileWalker,Unutilized Abstraction
priam,com.netflix.priam.backupv2,BackupVerificationTask,Deficient Encapsulation
priam,com.netflix.priam.backupv2,MetaFileInfo,Deficient Encapsulation
priam,com.netflix.priam.backupv2,MetaFileReader,Unutilized Abstraction
priam,com.netflix.priam.backupv2,MetaFileWriterBuilder,Cyclic-Dependent Modularization
priam,com.netflix.priam.backupv2,StartStep,Unutilized Abstraction
priam,com.netflix.priam.backupv2,DataStep,Unutilized Abstraction
priam,com.netflix.priam.backupv2,UploadStep,Unutilized Abstraction
priam,com.netflix.priam.backupv2,MetaFileWriter,Unutilized Abstraction
priam,com.netflix.priam.backupv2,MetaFileWriter,Cyclic-Dependent Modularization
priam,com.netflix.priam.backupv2,MetaFileBackupValidator,Unutilized Abstraction
priam,com.netflix.priam.backupv2,MetaFileBackupWalker,Unutilized Abstraction
priam,com.netflix.priam.backupv2,SnapshotMetaTask,Deficient Encapsulation
priam,com.netflix.priam.backupv2,TestBackupTTLTask,Unutilized Abstraction
priam,com.netflix.priam.backupv2,TestBackupV2Service,Unutilized Abstraction
priam,com.netflix.priam.backupv2,MockBackupNotificationMgr,Unnecessary Abstraction
priam,com.netflix.priam.backupv2,MockBackupNotificationMgr,Unutilized Abstraction
priam,com.netflix.priam.backupv2,TestForgottenFileManager,Unutilized Abstraction
priam,com.netflix.priam.backupv2,TestMetaV2Proxy,Unutilized Abstraction
priam,com.netflix.priam.backupv2,TestSnapshotMetaTask,Unutilized Abstraction
priam,com.netflix.priam.backupv2,TestMetaFileReader,Unutilized Abstraction
priam,com.netflix.priam.cli,Backuper,Unutilized Abstraction
priam,com.netflix.priam.cli,IncrementalBackuper,Unutilized Abstraction
priam,com.netflix.priam.cli,LightGuiceModule,Unutilized Abstraction
priam,com.netflix.priam.cluster.management,Compaction,Unutilized Abstraction
priam,com.netflix.priam.cluster.management,Compaction,Broken Hierarchy
priam,com.netflix.priam.cluster.management,Flush,Unutilized Abstraction
priam,com.netflix.priam.cluster.management,Flush,Broken Hierarchy
priam,com.netflix.priam.cluster.management,IClusterManagement,Unutilized Abstraction
priam,com.netflix.priam.compress,ChunkedStream,Unutilized Abstraction
priam,com.netflix.priam.config,IConfiguration,Insufficient Modularization
priam,com.netflix.priam.config,PriamConfiguration,Deficient Encapsulation
priam,com.netflix.priam.config,PriamConfiguration,Insufficient Modularization
priam,com.netflix.priam.config,PriamConfigurationPersister,Deficient Encapsulation
priam,com.netflix.priam.config,FakeConfiguration,Deficient Encapsulation
priam,com.netflix.priam.config,FakeConfiguration,Insufficient Modularization
priam,com.netflix.priam.config,PriamConfigurationPersisterTest,Unutilized Abstraction
priam,com.netflix.priam.config,PriamConfigurationPersisterTest,Deficient Encapsulation
priam,com.netflix.priam.configSource,CompositeConfigSource,Unutilized Abstraction
priam,com.netflix.priam.configSource,PriamConfigSource,Unutilized Abstraction
priam,com.netflix.priam.configSource,PriamConfigSource,Broken Hierarchy
priam,com.netflix.priam.configSource,SimpleDBConfigSource,Deficient Encapsulation
priam,com.netflix.priam.configSource,Attributes,Unnecessary Abstraction
priam,com.netflix.priam.configSource,Attributes,Deficient Encapsulation
priam,com.netflix.priam.configSource,AbstractConfigSourceTest,Unutilized Abstraction
priam,com.netflix.priam.configSource,CompositeConfigSourceTest,Unutilized Abstraction
priam,com.netflix.priam.configSource,PropertiesConfigSourceTest,Unutilized Abstraction
priam,com.netflix.priam.configSource,SystemPropertiesConfigSourceTest,Unutilized Abstraction
priam,com.netflix.priam.connection,CassandraOperations,Unutilized Abstraction
priam,com.netflix.priam.connection,ICassandraOperations,Unutilized Abstraction
priam,com.netflix.priam.connection,INodeToolObservable,Unutilized Abstraction
priam,com.netflix.priam.connection,JMXConnectionException,Unutilized Abstraction
priam,com.netflix.priam.connection,JMXNodeTool,Unutilized Abstraction
priam,com.netflix.priam.connection,JMXNodeTool,Cyclic-Dependent Modularization
priam,com.netflix.priam.connection,JMXNodeTool,Insufficient Modularization
