Project Name,Package Name,Type Name,Method Name,Code Smell
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,getAwsCredentialProvider,Long Identifier
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getAwsCredentialProvider,Long Identifier
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getAwsCredentialProvider,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getRacMembership,Complex Conditional
priam,com.netflix.priam.aws,AWSMembership,getRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getRacMembershipSize,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountRacMembership,Complex Conditional
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getVpcGoupId,Long Statement
priam,com.netflix.priam.aws,AWSMembership,listACL,Complex Method
priam,com.netflix.priam.aws,AWSMembership,listACL,Long Statement
priam,com.netflix.priam.aws,AWSMembership,listACL,Long Statement
priam,com.netflix.priam.aws,AWSMembership,listACL,Long Statement
priam,com.netflix.priam.aws,AWSMembership,expandRacMembership,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getAutoScalingClient,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountAutoScalingClient,Long Statement
priam,com.netflix.priam.aws,AWSMembership,getEc2Client,Long Statement
priam,com.netflix.priam.aws,DataPart,DataPart,Long Parameter List
priam,com.netflix.priam.aws,RemoteBackupPath,prependHash,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,removeHash,Long Statement
priam,com.netflix.priam.aws,RemoteBackupPath,removeHash,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,getV2Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,getV2Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV2Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV2Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV2Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,Long Statement
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,parseRemote,Long Statement
priam,com.netflix.priam.aws,RemoteBackupPath,remoteV2Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,remoteV2Prefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,Long Statement
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,Magic Number
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,Magic Number
priam,com.netflix.priam.aws,S3CrossAccountFileSystem,getCrossAcctS3Client,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,S3EncryptedFileSystem,Long Parameter List
priam,com.netflix.priam.aws,S3EncryptedFileSystem,S3EncryptedFileSystem,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,downloadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,downloadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,Long Identifier
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,S3FileSystem,Long Parameter List
priam,com.netflix.priam.aws,S3FileSystem,S3FileSystem,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,downloadFileImpl,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,uploadMultipart,Long Identifier
priam,com.netflix.priam.aws,S3FileSystem,uploadMultipart,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,uploadMultipart,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,uploadFileImpl,Magic Number
priam,com.netflix.priam.aws,S3FileSystem,uploadFileImpl,Magic Number
priam,com.netflix.priam.aws,S3FileSystem,uploadFileImpl,Magic Number
priam,com.netflix.priam.aws,S3FileSystem,generatePut,Long Statement
priam,com.netflix.priam.aws,S3FileSystem,getFileContents,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,S3FileSystemBase,Long Parameter List
priam,com.netflix.priam.aws,S3FileSystemBase,configChangeListener,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,visit,Long Identifier
priam,com.netflix.priam.aws,S3FileSystemBase,visit,Long Identifier
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,Complex Conditional
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,Long Statement
priam,com.netflix.priam.aws,S3FileSystemBase,checkSuccessfulUpload,Long Identifier
priam,com.netflix.priam.aws,S3FileSystemBase,deleteFiles,Long Statement
priam,com.netflix.priam.aws,PrefixVisitor,visit,Long Identifier
priam,com.netflix.priam.aws,PrefixVisitor,visit,Long Identifier
priam,com.netflix.priam.aws,S3Iterator,S3Iterator,Long Parameter List
priam,com.netflix.priam.aws,S3PartUploader,uploadPart,Long Statement
priam,com.netflix.priam.aws,S3PartUploader,completeUpload,Long Statement
priam,com.netflix.priam.aws,S3PartUploader,abortUpload,Long Statement
priam,com.netflix.priam.aws,SDBInstanceData,updateInstance,Long Statement
priam,com.netflix.priam.aws,SDBInstanceData,deregisterInstance,Long Statement
priam,com.netflix.priam.aws,SDBInstanceData,transform,Complex Method
priam,com.netflix.priam.aws,SDBInstanceData,getSimpleDBClient,Long Statement
priam,com.netflix.priam.aws,SDBInstanceFactory,getAllIds,Long Statement
priam,com.netflix.priam.aws,SDBInstanceFactory,create,Long Parameter List
priam,com.netflix.priam.aws,SDBInstanceFactory,create,Long Statement
priam,com.netflix.priam.aws,SDBInstanceFactory,create,Magic Number
priam,com.netflix.priam.aws,SDBInstanceFactory,create,Magic Number
priam,com.netflix.priam.aws,SDBInstanceFactory,create,Magic Number
priam,com.netflix.priam.aws,SDBInstanceFactory,makePriamInstance,Long Parameter List
priam,com.netflix.priam.aws,TestRemoteBackupPath,testV1BackupPathsSnap,Long Statement
priam,com.netflix.priam.aws,TestRemoteBackupPath,testV2BackupPathSST,Magic Number
priam,com.netflix.priam.aws,TestRemoteBackupPath,testV2BackupPathSST,Magic Number
priam,com.netflix.priam.aws,TestRemoteBackupPath,testV2BackupPathMeta,Magic Number
priam,com.netflix.priam.aws,TestRemoteBackupPath,testV2BackupPathMeta,Magic Number
priam,com.netflix.priam.aws,TestRemoteBackupPath,testRemoteV2Prefix,Long Statement
priam,com.netflix.priam.aws,TestRemoteBackupPath,testRemoteV2Prefix,Long Statement
priam,com.netflix.priam.backup,AbstractBackup,initiateBackup,Complex Method
priam,com.netflix.priam.backup,AbstractBackup,initiateBackup,Long Statement
priam,com.netflix.priam.backup,AbstractBackup,getBackupDirectories,Long Statement
priam,com.netflix.priam.backup,AbstractBackupPath,AbstractBackupPath,Long Statement
priam,com.netflix.priam.backup,AbstractBackupPath,parseLocal,Magic Number
priam,com.netflix.priam.backup,AbstractBackupPath,parseLocal,Magic Number
priam,com.netflix.priam.backup,AbstractBackupPath,newRestoreFile,Missing default
priam,com.netflix.priam.backup,AbstractFileSystem,AbstractFileSystem,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,AbstractFileSystem,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,downloadFile,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,downloadFile,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDelete,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDelete,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDeleteInternal,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDeleteInternal,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDeleteInternal,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDeleteInternal,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,uploadAndDeleteInternal,Magic Number
priam,com.netflix.priam.backup,AbstractFileSystem,list,Long Statement
priam,com.netflix.priam.backup,AbstractFileSystem,list,Long Statement
priam,com.netflix.priam.backup,BackupHelperImpl,getBackupPaths,Long Statement
priam,com.netflix.priam.backup,BackupHelperImpl,getCorrectCompressionAlgorithm,Long Statement
priam,com.netflix.priam.backup,BackupHelperImpl,getCorrectCompressionAlgorithm,Long Statement
priam,com.netflix.priam.backup,BackupHelperImpl,getCorrectCompressionAlgorithm,Missing default
priam,com.netflix.priam.backup,BackupMetadata,BackupMetadata,Complex Conditional
priam,com.netflix.priam.backup,BackupMetadata,BackupMetadata,Long Statement
priam,com.netflix.priam.backup,BackupMetadata,equals,Long Statement
priam,com.netflix.priam.backup,BackupMetadata,hashCode,Magic Number
priam,com.netflix.priam.backup,BackupMetadata,hashCode,Magic Number
priam,com.netflix.priam.backup,BackupMetadata,hashCode,Magic Number
priam,com.netflix.priam.backup,BackupRestoreUtil,isFiltered,Complex Conditional
priam,com.netflix.priam.backup,BackupRestoreUtil,isFiltered,Long Statement
priam,com.netflix.priam.backup,BackupRestoreUtil,isFiltered,Long Statement
priam,com.netflix.priam.backup,BackupRestoreUtil,isFiltered,Long Statement
priam,com.netflix.priam.backup,BackupStatusMgr,finish,Long Statement
priam,com.netflix.priam.backup,BackupStatusMgr,retrieveAndUpdate,Long Statement
priam,com.netflix.priam.backup,BackupStatusMgr,failed,Long Statement
priam,com.netflix.priam.backup,BackupStatusMgr,getLatestBackupMetadata,Long Statement
priam,com.netflix.priam.backup,CommitLogBackupTask,getTimer,Magic Number
priam,com.netflix.priam.backup,CommitLogBackupTask,getTimer,Magic Number
priam,com.netflix.priam.backup,FileSnapshotStatusMgr,init,Long Statement
priam,com.netflix.priam.backup,IncrementalBackup,getTimer,Magic Number
priam,com.netflix.priam.backup,IncrementalBackup,getTimer,Magic Number
priam,com.netflix.priam.backup,IncrementalBackup,isEnabled,Long Statement
priam,com.netflix.priam.backup,IncrementalBackup,processColumnFamily,Long Statement
priam,com.netflix.priam.backup,MetaData,doesExist,Magic Number
priam,com.netflix.priam.backup,RangeReadInputStream,read,Long Statement
priam,com.netflix.priam.backup,RangeReadInputStream,read,Magic Number
priam,com.netflix.priam.backup,RangeReadInputStream,retriableCall,Magic Number
priam,com.netflix.priam.backup,SnapshotBackup,SnapshotBackup,Long Parameter List
priam,com.netflix.priam.backup,SnapshotBackup,execute,Long Statement
priam,com.netflix.priam.backup,SnapshotBackup,execute,Magic Number
priam,com.netflix.priam.backup,SnapshotBackup,cleanOldBackups,Long Statement
priam,com.netflix.priam.backup,SnapshotBackup,processColumnFamily,Long Statement
priam,com.netflix.priam.backup,SnapshotDirectorySize,getBytes,Empty catch clause
priam,com.netflix.priam.backup,FakeBackupFileSystem,list,Complex Conditional
priam,com.netflix.priam.backup,FakeBackupFileSystem,list,Long Statement
priam,com.netflix.priam.backup,FakeBackupFileSystem,list,Magic Number
priam,com.netflix.priam.backup,FakeBackupFileSystem,list,Magic Number
priam,com.netflix.priam.backup,TestAbstractFileSystem,setBackupMetrics,Long Statement
priam,com.netflix.priam.backup,TestAbstractFileSystem,testFailedRetriesDownload,Magic Number
priam,com.netflix.priam.backup,TestAbstractFileSystem,testDownload,Magic Number
priam,com.netflix.priam.backup,TestAbstractFileSystem,testAsyncUploadBulk,Magic Number
priam,com.netflix.priam.backup,TestAbstractFileSystem,testUploadDedup,Empty catch clause
priam,com.netflix.priam.backup,TestAbstractFileSystem,testUploadDedup,Magic Number
priam,com.netflix.priam.backup,TestAbstractFileSystem,testAsyncDownload,Magic Number
