Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,EC2RoleAssumptionCredential,5,1,3
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,getAwsCredentialProvider,23,5,0
priam,com.netflix.priam.aws.auth,IS3Credential,getCredentials,0,1,0
priam,com.netflix.priam.aws.auth,S3InstanceCredential,S3InstanceCredential,3,1,0
priam,com.netflix.priam.aws.auth,S3InstanceCredential,getCredentials,3,1,0
priam,com.netflix.priam.aws.auth,S3InstanceCredential,getAwsCredentialProvider,3,1,0
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,S3RoleAssumptionCredential,4,1,2
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getCredentials,6,2,0
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,refresh,3,1,0
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,getAwsCredentialProvider,22,4,0
priam,com.netflix.priam.aws,AWSMembership,AWSMembership,6,1,4
priam,com.netflix.priam.aws,AWSMembership,getRacMembership,22,6,0
priam,com.netflix.priam.aws,AWSMembership,getRacMembershipSize,17,3,0
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountRacMembership,22,6,0
priam,com.netflix.priam.aws,AWSMembership,getRacCount,3,1,0
priam,com.netflix.priam.aws,AWSMembership,isClassic,3,1,0
priam,com.netflix.priam.aws,AWSMembership,addACL,25,5,3
priam,com.netflix.priam.aws,AWSMembership,getVpcGoupId,19,3,0
priam,com.netflix.priam.aws,AWSMembership,removeACL,25,5,3
priam,com.netflix.priam.aws,AWSMembership,listACL,29,10,2
priam,com.netflix.priam.aws,AWSMembership,expandRacMembership,18,2,1
priam,com.netflix.priam.aws,AWSMembership,getAutoScalingClient,3,1,0
priam,com.netflix.priam.aws,AWSMembership,getCrossAccountAutoScalingClient,3,1,0
priam,com.netflix.priam.aws,AWSMembership,getEc2Client,3,1,0
priam,com.netflix.priam.aws,DataPart,DataPart,5,1,3
priam,com.netflix.priam.aws,DataPart,DataPart,6,1,5
priam,com.netflix.priam.aws,DataPart,getBucketName,3,1,0
priam,com.netflix.priam.aws,DataPart,getUploadID,3,1,0
priam,com.netflix.priam.aws,DataPart,getS3key,3,1,0
priam,com.netflix.priam.aws,DataPart,getPartNo,3,1,0
priam,com.netflix.priam.aws,DataPart,getPartData,3,1,0
priam,com.netflix.priam.aws,DataPart,getMd5,3,1,0
priam,com.netflix.priam.aws,IAMCredential,IAMCredential,3,1,0
priam,com.netflix.priam.aws,IAMCredential,getAccessKeyId,3,1,0
priam,com.netflix.priam.aws,IAMCredential,getSecretAccessKey,3,1,0
priam,com.netflix.priam.aws,IAMCredential,getCredentials,3,1,0
priam,com.netflix.priam.aws,IAMCredential,getAwsCredentialProvider,3,1,0
priam,com.netflix.priam.aws,RemoteBackupPath,RemoteBackupPath,3,1,2
priam,com.netflix.priam.aws,RemoteBackupPath,getV2Prefix,5,1,0
priam,com.netflix.priam.aws,RemoteBackupPath,prependHash,3,1,1
priam,com.netflix.priam.aws,RemoteBackupPath,removeHash,6,1,1
priam,com.netflix.priam.aws,RemoteBackupPath,getV2Location,10,2,0
priam,com.netflix.priam.aws,RemoteBackupPath,parseV2Location,22,2,1
priam,com.netflix.priam.aws,RemoteBackupPath,getV1Location,10,2,0
priam,com.netflix.priam.aws,RemoteBackupPath,toPath,3,1,1
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Location,11,2,1
priam,com.netflix.priam.aws,RemoteBackupPath,parseV1Prefix,7,1,1
priam,com.netflix.priam.aws,RemoteBackupPath,getRemotePath,3,1,0
priam,com.netflix.priam.aws,RemoteBackupPath,parseRemote,9,2,1
priam,com.netflix.priam.aws,RemoteBackupPath,parsePartialPrefix,3,1,1
priam,com.netflix.priam.aws,RemoteBackupPath,remotePrefix,3,1,3
priam,com.netflix.priam.aws,RemoteBackupPath,remoteV2Prefix,14,3,2
priam,com.netflix.priam.aws,RemoteBackupPath,clusterPrefix,15,2,1
priam,com.netflix.priam.aws,S3CrossAccountFileSystem,S3CrossAccountFileSystem,6,1,4
priam,com.netflix.priam.aws,S3CrossAccountFileSystem,getBackupFileSystem,3,1,0
priam,com.netflix.priam.aws,S3CrossAccountFileSystem,getCrossAcctS3Client,16,3,0
priam,com.netflix.priam.aws,S3EncryptedFileSystem,S3EncryptedFileSystem,6,1,9
priam,com.netflix.priam.aws,S3EncryptedFileSystem,downloadFileImpl,10,1,2
priam,com.netflix.priam.aws,S3EncryptedFileSystem,uploadFileImpl,51,6,2
priam,com.netflix.priam.aws,S3FileSystem,S3FileSystem,5,1,8
priam,com.netflix.priam.aws,S3FileSystem,downloadFileImpl,18,2,2
priam,com.netflix.priam.aws,S3FileSystem,getObjectMetadata,12,3,1
priam,com.netflix.priam.aws,S3FileSystem,uploadMultipart,41,4,2
priam,com.netflix.priam.aws,S3FileSystem,uploadFileImpl,19,2,2
priam,com.netflix.priam.aws,S3FileSystem,retriableCall,3,1,0
priam,com.netflix.priam.aws,S3FileSystem,generatePut,10,2,2
priam,com.netflix.priam.aws,S3FileSystem,getFileContents,13,2,1
priam,com.netflix.priam.aws,S3FileSystemBase,S3FileSystemBase,11,1,5
priam,com.netflix.priam.aws,S3FileSystemBase,configChangeListener,7,1,0
priam,com.netflix.priam.aws,S3FileSystemBase,getS3Client,3,1,0
priam,com.netflix.priam.aws,S3FileSystemBase,setS3Client,3,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,cleanup,20,4,0
priam,com.netflix.priam.aws,S3FileSystemBase,visit,3,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,visit,2,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,visit,2,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,visit,2,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,visit,2,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,getBucketLifecycleRule,18,6,2
priam,com.netflix.priam.aws,S3FileSystemBase,updateLifecycleRule,23,5,3
priam,com.netflix.priam.aws,S3FileSystemBase,checkSuccessfulUpload,8,2,2
priam,com.netflix.priam.aws,S3FileSystemBase,getFileSize,3,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,doesRemoteFileExist,11,1,1
priam,com.netflix.priam.aws,S3FileSystemBase,shutdown,3,2,0
priam,com.netflix.priam.aws,S3FileSystemBase,listFileSystem,3,1,3
priam,com.netflix.priam.aws,S3FileSystemBase,deleteFiles,12,2,1
priam,com.netflix.priam.aws,S3FileSystemBase,getChunkSize,3,1,1
priam,com.netflix.priam.aws,PrefixVisitor,visit,3,1,1
priam,com.netflix.priam.aws,PrefixVisitor,visit,2,1,1
priam,com.netflix.priam.aws,PrefixVisitor,visit,2,1,1
priam,com.netflix.priam.aws,PrefixVisitor,visit,2,1,1
priam,com.netflix.priam.aws,PrefixVisitor,visit,2,1,1
priam,com.netflix.priam.aws,S3Iterator,S3Iterator,8,1,5
priam,com.netflix.priam.aws,S3Iterator,initListing,8,3,0
priam,com.netflix.priam.aws,S3Iterator,createIterator,8,3,0
priam,com.netflix.priam.aws,S3Iterator,hasNext,12,3,0
priam,com.netflix.priam.aws,S3Iterator,next,3,1,0
priam,com.netflix.priam.aws,S3PartUploader,S3PartUploader,6,1,3
priam,com.netflix.priam.aws,S3PartUploader,S3PartUploader,7,1,4
priam,com.netflix.priam.aws,S3PartUploader,uploadPart,16,3,0
priam,com.netflix.priam.aws,S3PartUploader,completeUpload,4,1,0
priam,com.netflix.priam.aws,S3PartUploader,abortUpload,4,1,0
priam,com.netflix.priam.aws,S3PartUploader,retriableCall,4,1,0
