Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
priam,com.netflix.priam.aws.auth,EC2RoleAssumptionCredential,5,0,2,2,35,6,0,0,0.0,1,3
priam,com.netflix.priam.aws.auth,IS3Credential,0,0,1,0,3,1,2,0,-1.0,4,0
priam,com.netflix.priam.aws.auth,S3InstanceCredential,1,0,3,3,12,3,0,1,0.0,0,0
priam,com.netflix.priam.aws.auth,S3RoleAssumptionCredential,5,0,4,4,42,8,0,1,0.0,2,2
priam,com.netflix.priam.aws,AWSMembership,5,0,14,9,220,46,0,0,0.0,0,3
priam,com.netflix.priam.aws,DataPart,6,0,8,8,40,8,0,0,0.0,5,1
priam,com.netflix.priam.aws,IAMCredential,1,0,5,5,18,5,0,0,0.0,1,0
priam,com.netflix.priam.aws,RemoteBackupPath,1,0,16,7,136,24,0,0,0.1875,6,4
priam,com.netflix.priam.aws,S3CrossAccountFileSystem,6,0,3,3,33,5,0,0,0.0,2,5
priam,com.netflix.priam.aws,S3EncryptedFileSystem,3,0,3,1,75,8,0,1,0.6666666666666666,1,11
priam,com.netflix.priam.aws,S3FileSystem,3,0,8,2,126,17,0,1,0.25,5,11
priam,com.netflix.priam.aws,S3FileSystemBase,9,0,19,12,152,34,2,0,0.2631578947368421,0,6
priam,com.netflix.priam.aws,PrefixVisitor,1,0,5,5,14,5,0,0,1.0,1,0
priam,com.netflix.priam.aws,S3Iterator,7,0,5,3,51,11,0,0,0.0,0,0
priam,com.netflix.priam.aws,S3PartUploader,7,0,6,5,50,8,0,0,0.0,2,3
priam,com.netflix.priam.aws,SDBInstanceData,14,12,11,7,145,24,0,0,0.0,1,4
priam,com.netflix.priam.aws,Attributes,9,9,0,0,11,0,0,0,-1.0,1,0
priam,com.netflix.priam.aws,SDBInstanceFactory,3,0,7,6,68,9,0,0,0.0,0,3
priam,com.netflix.priam.aws,UpdateCleanupPolicy,2,1,5,5,26,5,0,0,0.4,1,2
priam,com.netflix.priam.aws,TestRemoteBackupPath,3,0,8,7,117,8,0,0,0.0,0,3
priam,com.netflix.priam.backup,AbstractBackup,3,1,7,2,79,20,3,0,0.42857142857142855,9,4
priam,com.netflix.priam.backup,AbstractBackupPath,24,2,44,43,223,51,0,0,0.25,40,4
priam,com.netflix.priam.backup,AbstractFileSystem,9,0,21,16,167,30,2,1,0.0,1,4
priam,com.netflix.priam.backup,BackupDynamicRateLimiter,4,0,2,2,33,6,0,1,0.0,1,4
priam,com.netflix.priam.backup,BackupFileSystemContext,2,0,2,2,15,3,0,1,0.0,0,2
priam,com.netflix.priam.backup,BackupHelper,0,0,3,0,7,3,1,0,-1.0,2,1
priam,com.netflix.priam.backup,BackupHelperImpl,5,0,4,3,62,10,0,1,0.0,3,4
priam,com.netflix.priam.backup,BackupMetadata,10,0,18,18,137,21,0,0,0.2777777777777778,10,3
priam,com.netflix.priam.backup,BackupRestoreException,1,0,2,2,9,2,0,0,1.0,0,0
priam,com.netflix.priam.backup,BackupRestoreUtil,4,0,6,6,72,17,0,0,0.6666666666666666,5,4
priam,com.netflix.priam.backup,BackupService,5,0,4,4,30,5,0,0,0.5,1,9
priam,com.netflix.priam.backup,BackupStatusMgr,4,0,14,11,108,25,1,1,0.0,0,3
priam,com.netflix.priam.backup,BackupVerification,6,0,7,5,85,16,0,0,0.0,1,7
priam,com.netflix.priam.backup,BackupVerificationResult,6,6,1,1,14,1,0,0,0.0,2,1
priam,com.netflix.priam.backup,CommitLogBackup,4,0,3,2,42,8,0,0,0.0,1,3
priam,com.netflix.priam.backup,CommitLogBackupTask,3,1,5,4,27,7,0,1,0.6,1,2
priam,com.netflix.priam.backup,DirectorySize,0,0,1,0,9,1,2,0,-1.0,1,0
priam,com.netflix.priam.backup,DynamicRateLimiter,0,0,1,0,3,1,2,0,-1.0,3,1
priam,com.netflix.priam.backup,FileSnapshotStatusMgr,3,0,4,3,55,7,0,2,0.5,0,3
priam,com.netflix.priam.backup,IBackupFileSystem,0,0,17,0,113,17,1,0,-1.0,20,1
priam,com.netflix.priam.backup,IBackupStatusMgr,0,0,9,0,54,9,1,0,-1.0,4,2
priam,com.netflix.priam.backup,IFileSystemContext,0,0,1,0,3,1,1,0,-1.0,7,1
priam,com.netflix.priam.backup,IncrementalBackup,5,1,7,5,57,12,0,1,0.0,7,8
priam,com.netflix.priam.backup,MetaData,4,0,6,5,50,8,0,0,0.0,6,5
priam,com.netflix.priam.backup,RangeReadInputStream,6,0,4,4,55,9,0,0,0.5,0,0
priam,com.netflix.priam.backup,SnapshotBackup,15,1,10,5,125,20,0,1,0.0,5,17
priam,com.netflix.priam.backup,SnapshotDirectorySize,1,0,6,5,35,7,0,1,0.8333333333333334,0,2
priam,com.netflix.priam.backup,SummingFileVisitor,1,0,5,4,21,6,0,0,0.8,1,1
priam,com.netflix.priam.backup,BRTestModule,0,0,1,0,23,1,0,0,-1.0,0,27
priam,com.netflix.priam.backup,FakeBackupFileSystem,6,2,13,10,98,23,0,2,0.3076923076923077,5,5
priam,com.netflix.priam.backup,FakeCredentials,0,0,1,1,5,1,0,0,-1.0,1,0
priam,com.netflix.priam.backup,FakeDynamicRateLimiter,0,0,1,1,4,1,0,1,-1.0,1,1
priam,com.netflix.priam.backup,FakeNullCredential,0,0,1,1,5,1,0,0,-1.0,1,0
priam,com.netflix.priam.backup,FakePostRestoreHook,0,0,2,2,7,2,0,0,-1.0,1,0
