Project Name,Package Name,Type Name,Code Smell
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,Unutilized Abstraction
app,org.thoughtcrime.securesms.lock,RegistrationLockReminders,Deficient Encapsulation
app,org.thoughtcrime.securesms.lock,RegistrationLockReminders,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.lock,V2PinVerifier,Unutilized Abstraction
app,org.thoughtcrime.securesms.lock,Callback,Unutilized Abstraction
app,org.thoughtcrime.securesms.lock,SignalPinReminders,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,FeatureFlagsAccessor,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,AlarmReceiver,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,WorkerThread,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,AsyncLoader,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,AvatarUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,AvatarUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,BackupUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,BackupFileException,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,BitmapDecodingException,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,BitmapUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,BitmapUtil,Insufficient Modularization
app,org.thoughtcrime.securesms.util,ScaleResult,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,BlurTransformation,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,BubbleUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,BucketInfo,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,CachedInflater,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,ViewCache,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,CenteredImageSpan,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,CharacterCalculator,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,CharacterCalculator,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,CharacterState,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,CharacterState,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,CloseableLiveData,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,CommunicationActions,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,CommunicationActions,Insufficient Modularization
app,org.thoughtcrime.securesms.util,ActivityCallContext,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,FragmentCallContext,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,Factory,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,Fetcher,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ShortcutGeneratedContactPhoto,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ConversationUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,ConversationUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,DeviceProperties,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,Dialogs,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,DrawableUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,DynamicConversationSettingsTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicDarkActionBarTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicDarkToolbarTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicLanguage,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,DynamicNoActionBarInviteTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicNoActionBarTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicRegistrationTheme,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DynamicTheme,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,EarlyMessageCache,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,FeatureFlags,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,FeatureFlags,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,FeatureFlags,Insufficient Modularization
app,org.thoughtcrime.securesms.util,Function3,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,GroupUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,GroupDescription,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,IasKeyStore,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,IdentityUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,ImageCompressionUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,Result,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,IntentUtils,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,InterceptableLongClickCopyLinkSpan,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,InterceptableLongClickCopyLinkSpan,Broken Hierarchy
app,org.thoughtcrime.securesms.util,SaneJSONObject,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,LifecycleCursorWrapper,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,LimitedInputStream,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ListenableFutureTask,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,LocaleFeatureFlags,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,LongClickCopySpan,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,LongClickMovementMethod,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,MediaUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,MediaUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,MediaUtil,Insufficient Modularization
app,org.thoughtcrime.securesms.util,ThumbnailData,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MemoryFileException,Unnecessary Abstraction
app,org.thoughtcrime.securesms.util,MemoryFileException,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MemoryLimitException,Unnecessary Abstraction
app,org.thoughtcrime.securesms.util,MemoryLimitException,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MemoryFileCreationException,Unnecessary Abstraction
app,org.thoughtcrime.securesms.util,MemoryFileCreationException,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MemoryFileUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,SplitResult,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MmsCharacterCalculator,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MmsCharacterCalculator,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,NetworkUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,NoCrossfadeChangeDefaultAnimator,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,PlayStoreUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,ProfileUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,Projection,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,Projection,Insufficient Modularization
app,org.thoughtcrime.securesms.util,Corners,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,PushCharacterCalculator,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,PushCharacterCalculator,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,RemoteDeprecation,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,ClientExpiration,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,RequestCodes,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,RequestCodes,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SaveAttachmentTask,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,Attachment,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SearchUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SemanticVersion,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,ServiceUtil,Insufficient Modularization
app,org.thoughtcrime.securesms.util,SignalLocalMetrics,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SignalLocalMetrics,Insufficient Modularization
app,org.thoughtcrime.securesms.util,ColdStart,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ConversationOpen,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MessageLatency,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,MessageLatency,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,FcmServiceStartFailure,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,FcmServiceStartFailure,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,FcmServiceStartSuccess,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,FcmServiceStartSuccess,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,PushWebsocketFetch,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,PushWebsocketFetch,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,MessageReceive,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,SignalProxyUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,SignalUncaughtExceptionHandler,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,SmsCharacterCalculator,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,SmsCharacterCalculator,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SmsUtil,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ScrollRequestBuilder,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,SoftHashMap,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,SpanUtil,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,SpanUtil,Insufficient Modularization
app,org.thoughtcrime.securesms.util,SplashScreenUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,StorageUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,TaggedFutureTask,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,TextSecurePreferences,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,TextSecurePreferences,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,TextSecurePreferences,Insufficient Modularization
app,org.thoughtcrime.securesms.util,Util,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,Util,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,Util,Insufficient Modularization
app,org.thoughtcrime.securesms.util,ViewUtil,Insufficient Modularization
app,org.thoughtcrime.securesms.util,WindowUtil,Cyclic-Dependent Modularization
app,org.thoughtcrime.securesms.util,WorkerThread,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,BucketingUtilTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DeferredTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DelimiterUtilTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,DelimiterUtilTest,Deficient Encapsulation
app,org.thoughtcrime.securesms.util,DiffHelperTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,ExpirationUtilTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,FeatureFlagsTest,Unutilized Abstraction
app,org.thoughtcrime.securesms.util,FeatureFlagsTest,Insufficient Modularization
app,org.thoughtcrime.securesms.util,FeatureFlags_ConsistencyTest,Unutilized Abstraction
