Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password,13,1,0
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_another_password,13,1,0
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,14,1,0
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,14,1,0
app,org.thoughtcrime.securesms.lock,RegistrationLockReminders,needsReminder,5,1,1
app,org.thoughtcrime.securesms.lock,RegistrationLockReminders,scheduleReminder,15,3,2
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,show,69,6,3
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onClick,4,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onTextChanged,12,3,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,getPinWatcherCallback,20,1,5
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onPinCorrect,5,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onPinWrong,6,1,0
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,hadWrongGuess,3,1,0
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,V2PinVerifier,4,2,0
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,verifyPin,11,5,2
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,verifyPin,0,1,2
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onPinCorrect,0,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onPinWrong,0,1,0
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,hadWrongGuess,0,1,0
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,launch,0,1,2
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onReminderDismissed,0,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,onReminderCompleted,0,1,2
app,org.thoughtcrime.securesms.lock,V2PinVerifier,V2PinVerifier,4,2,0
app,org.thoughtcrime.securesms.lock,V2PinVerifier,verifyPin,11,5,2
app,org.thoughtcrime.securesms.lock,PinVerifier,verifyPin,0,1,2
app,org.thoughtcrime.securesms.lock,PinVerifier,onPinCorrect,0,1,1
app,org.thoughtcrime.securesms.lock,PinVerifier,onPinWrong,0,1,0
app,org.thoughtcrime.securesms.lock,PinVerifier,hadWrongGuess,0,1,0
app,org.thoughtcrime.securesms.lock,Callback,onPinCorrect,0,1,1
app,org.thoughtcrime.securesms.lock,Callback,onPinWrong,0,1,0
app,org.thoughtcrime.securesms.lock,Callback,hadWrongGuess,0,1,0
app,org.thoughtcrime.securesms.lock,Launcher,launch,0,1,2
app,org.thoughtcrime.securesms.lock,Callback,onReminderDismissed,0,1,1
app,org.thoughtcrime.securesms.lock,Callback,onReminderCompleted,0,1,2
app,org.thoughtcrime.securesms.lock,SignalPinReminders,getNextInterval,4,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminders,getPreviousInterval,4,1,1
app,org.thoughtcrime.securesms.lock,SignalPinReminders,getReminderString,10,2,1
app,org.thoughtcrime.securesms.util,FeatureFlagsAccessor,forceValue,3,1,2
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,AbstractCursorLoader,5,1,1
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,getCursor,0,1,0
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,deliverResult,16,5,1
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,onStartLoading,8,3,0
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,onStopLoading,3,1,0
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,onCanceled,5,2,1
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,loadInBackground,10,2,0
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,onReset,8,2,0
app,org.thoughtcrime.securesms.util,AccessibilityUtil,AccessibilityUtil,2,1,0
app,org.thoughtcrime.securesms.util,AccessibilityUtil,areAnimationsDisabled,3,1,1
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,AlarmSleepTimer,3,1,1
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,sleep,30,3,1
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,buildActionName,3,1,1
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,setAlarm,13,2,2
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,onReceive,6,1,2
app,org.thoughtcrime.securesms.util,AlarmReceiver,setAlarm,13,2,2
app,org.thoughtcrime.securesms.util,AlarmReceiver,onReceive,6,1,2
app,org.thoughtcrime.securesms.util,AppForegroundObserver,begin,12,1,0
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onStart,3,1,1
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onStop,3,1,1
app,org.thoughtcrime.securesms.util,AppForegroundObserver,addListener,11,3,1
app,org.thoughtcrime.securesms.util,AppForegroundObserver,removeListener,3,1,1
app,org.thoughtcrime.securesms.util,AppForegroundObserver,isForegrounded,3,1,0
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onForeground,6,2,0
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onBackground,6,2,0
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onForeground,2,1,0
app,org.thoughtcrime.securesms.util,AppForegroundObserver,onBackground,2,1,0
app,org.thoughtcrime.securesms.util,Listener,onForeground,2,1,0
app,org.thoughtcrime.securesms.util,Listener,onBackground,2,1,0
app,org.thoughtcrime.securesms.util,AppSignatureUtil,AppSignatureUtil,2,1,0
