Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
app,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,0,0,4,4,56,4,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.lock,RegistrationLockReminders,2,1,2,2,33,4,0,0,1.0,2,1
app,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,4,0,16,7,125,28,0,0,0.5625,2,10
app,org.thoughtcrime.securesms.lock,V2PinVerifier,1,0,2,1,18,7,0,1,0.0,0,3
app,org.thoughtcrime.securesms.lock,PinVerifier,0,0,4,0,8,4,1,0,-1.0,2,2
app,org.thoughtcrime.securesms.lock,Callback,0,0,3,0,5,3,0,0,-1.0,3,0
app,org.thoughtcrime.securesms.lock,Launcher,0,0,1,0,3,1,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.lock,Callback,0,0,2,0,4,2,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.lock,SignalPinReminders,9,1,3,3,50,4,0,0,0.6666666666666666,2,0
app,org.thoughtcrime.securesms.util,FeatureFlagsAccessor,0,0,1,1,8,1,0,0,-1.0,0,1
app,org.thoughtcrime.securesms.util,AbstractCursorLoader,4,0,8,5,65,17,0,0,0.25,0,0
app,org.thoughtcrime.securesms.util,AccessibilityUtil,0,0,2,1,7,2,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,AlarmSleepTimer,4,0,5,3,66,8,0,0,0.0,2,3
app,org.thoughtcrime.securesms.util,AlarmReceiver,1,0,2,1,22,3,0,0,1.0,1,2
app,org.thoughtcrime.securesms.util,AppForegroundObserver,2,0,10,6,57,14,0,0,0.3,8,1
app,org.thoughtcrime.securesms.util,Listener,0,0,2,0,6,2,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,AppSignatureUtil,4,0,3,1,43,4,0,0,0.6666666666666666,3,1
app,org.thoughtcrime.securesms.util,AppStartup,14,0,13,9,133,19,0,0,0.15384615384615385,6,2
app,org.thoughtcrime.securesms.util,Task,2,0,3,1,14,3,0,0,0.0,1,0
app,org.thoughtcrime.securesms.util,AsynchronousCallback,0,0,7,2,34,7,0,0,-1.0,7,1
app,org.thoughtcrime.securesms.util,WorkerThread,0,0,2,0,9,2,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,MainThread,0,0,5,2,23,5,0,0,-1.0,2,1
app,org.thoughtcrime.securesms.util,AsyncLoader,1,0,5,2,34,8,0,0,0.4,0,0
app,org.thoughtcrime.securesms.util,AttachmentUtil,1,0,6,2,82,19,0,0,0.3333333333333333,3,9
app,org.thoughtcrime.securesms.util,AvatarUtil,5,1,23,15,154,32,0,0,0.43478260869565216,10,6
app,org.thoughtcrime.securesms.util,AvatarTarget,3,0,7,6,47,9,0,0,0.42857142857142855,1,1
app,org.thoughtcrime.securesms.util,BackupUtil,7,1,26,16,273,56,0,0,0.19230769230769232,11,8
app,org.thoughtcrime.securesms.util,BackupFileException,1,0,2,1,13,2,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,BackupInfo,3,0,5,3,37,9,0,0,0.0,1,1
app,org.thoughtcrime.securesms.util,BitmapDecodingException,0,0,2,2,8,2,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,BitmapUtil,9,0,24,22,300,60,0,0,0.375,12,4
app,org.thoughtcrime.securesms.util,ScaleResult,3,0,4,4,19,4,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,BlurTransformation,5,1,3,2,32,3,0,0,0.0,3,0
app,org.thoughtcrime.securesms.util,BubbleUtil,2,0,4,3,81,13,0,0,1.0,6,9
app,org.thoughtcrime.securesms.util,BucketInfo,5,1,7,6,72,17,0,0,0.2857142857142857,2,1
app,org.thoughtcrime.securesms.util,BucketingUtil,0,0,2,1,30,2,0,0,-1.0,2,0
app,org.thoughtcrime.securesms.util,CachedInflater,9,0,9,4,106,16,0,0,0.2222222222222222,5,3
app,org.thoughtcrime.securesms.util,ViewCache,7,0,4,0,62,9,0,0,0.5,2,3
app,org.thoughtcrime.securesms.util,CalendarDateOnly,0,0,2,2,13,2,0,0,-1.0,2,1
app,org.thoughtcrime.securesms.util,CenteredImageSpan,1,0,3,3,19,3,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,CharacterCalculator,4,4,2,2,15,2,3,0,1.0,0,0
app,org.thoughtcrime.securesms.util,CharacterState,4,4,1,1,12,1,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,CloseableLiveData,0,0,3,3,21,5,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,CommunicationActions,3,0,44,26,367,70,0,0,0.29545454545454547,30,19
app,org.thoughtcrime.securesms.util,CallContext,0,0,3,0,5,3,2,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,ActivityCallContext,1,0,4,3,15,4,0,1,0.0,0,1
app,org.thoughtcrime.securesms.util,FragmentCallContext,1,0,4,3,15,4,0,1,0.0,0,1
app,org.thoughtcrime.securesms.util,ConfigurationUtil,0,0,4,3,13,4,0,0,-1.0,5,1
app,org.thoughtcrime.securesms.util,ContextUtil,0,0,3,2,13,3,0,0,-1.0,13,0
app,org.thoughtcrime.securesms.util,ConversationShortcutPhoto,9,0,22,16,118,26,0,0,0.3181818181818182,4,8
app,org.thoughtcrime.securesms.util,Loader,2,0,6,5,23,6,0,0,0.5,2,1
app,org.thoughtcrime.securesms.util,Factory,1,0,3,3,11,3,0,0,0.6666666666666666,0,0
app,org.thoughtcrime.securesms.util,Fetcher,2,0,8,5,49,10,0,0,0.625,0,6
app,org.thoughtcrime.securesms.util,ShortcutGeneratedContactPhoto,1,0,3,2,13,3,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,ConversationUtil,9,1,21,15,206,33,0,0,0.42857142857142855,8,8
app,org.thoughtcrime.securesms.util,Debouncer,2,0,4,4,24,4,0,0,0.0,8,0
app,org.thoughtcrime.securesms.util,DefaultValueLiveData,1,0,4,4,22,4,0,0,0.75,4,0
app,org.thoughtcrime.securesms.util,Deferred,2,0,4,3,22,5,0,0,0.0,2,0
app,org.thoughtcrime.securesms.util,DelimiterUtil,0,0,3,3,17,4,0,0,-1.0,5,0
app,org.thoughtcrime.securesms.util,DeviceProperties,2,0,9,8,75,14,0,0,0.4444444444444444,7,3
app,org.thoughtcrime.securesms.util,Dialogs,0,0,6,6,34,6,0,0,-1.0,2,3
app,org.thoughtcrime.securesms.util,DiffHelper,2,0,4,4,27,4,0,0,0.5,1,0
app,org.thoughtcrime.securesms.util,Result,2,0,3,3,14,3,0,0,0.0,5,0
app,org.thoughtcrime.securesms.util,DisplayMetricsUtil,0,0,2,1,11,2,0,0,-1.0,2,0
app,org.thoughtcrime.securesms.util,DrawableUtil,3,1,4,3,29,4,0,0,1.0,11,0
app,org.thoughtcrime.securesms.util,DynamicConversationSettingsTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicDarkActionBarTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicDarkToolbarTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicIntroTheme,0,0,1,0,5,1,0,1,-1.0,1,0
app,org.thoughtcrime.securesms.util,DynamicLanguage,0,0,7,4,35,9,0,0,-1.0,8,3
app,org.thoughtcrime.securesms.util,DynamicNoActionBarInviteTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicNoActionBarTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicRegistrationTheme,0,0,1,0,5,1,0,1,-1.0,0,0
app,org.thoughtcrime.securesms.util,DynamicTheme,3,0,7,5,58,12,7,0,0.0,38,4
app,org.thoughtcrime.securesms.util,EarlyMessageCache,1,0,3,3,33,4,0,0,0.0,1,2
app,org.thoughtcrime.securesms.util,EllapsedTimeFormatter,3,0,3,2,24,5,0,0,0.6666666666666666,1,0
app,org.thoughtcrime.securesms.util,ExpirationUtil,4,0,4,2,81,13,0,0,0.0,10,1
app,org.thoughtcrime.securesms.util,FeatureFlags,75,12,85,72,740,119,0,0,0.047058823529411764,49,5
app,org.thoughtcrime.securesms.util,UpdateResult,3,0,4,3,19,4,0,0,0.0,2,0
app,org.thoughtcrime.securesms.util,OnFlagChange,0,0,1,0,3,1,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,FileProviderUtil,1,0,3,3,16,5,0,0,0.0,1,0
app,org.thoughtcrime.securesms.util,FileUtils,0,0,5,4,38,11,0,0,-1.0,5,1
app,org.thoughtcrime.securesms.util,FrameRateTracker,9,0,6,5,65,10,0,0,0.0,2,2
app,org.thoughtcrime.securesms.util,FullscreenHelper,1,0,12,10,101,18,0,0,0.4166666666666667,4,1
app,org.thoughtcrime.securesms.util,Function3,0,0,1,0,6,1,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,FutureTaskListener,0,0,2,2,4,2,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,GroupUtil,4,0,8,5,91,20,0,0,0.5,6,3
app,org.thoughtcrime.securesms.util,GroupDescription,3,0,3,1,42,10,0,0,0.0,0,2
app,org.thoughtcrime.securesms.util,HtmlUtil,0,0,1,1,5,1,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,IasKeyStore,0,0,2,1,15,2,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,IdentityUtil,1,0,11,9,192,32,0,0,0.45454545454545453,5,6
app,org.thoughtcrime.securesms.util,ImageCompressionUtil,6,0,12,9,122,24,0,0,0.3333333333333333,4,3
app,org.thoughtcrime.securesms.util,Result,4,0,5,5,24,5,0,0,0.0,0,0
app,org.thoughtcrime.securesms.util,IntentUtils,0,0,2,2,20,3,0,0,-1.0,0,0
app,org.thoughtcrime.securesms.util,InterceptableLongClickCopyLinkSpan,1,0,3,3,18,4,0,1,0.0,0,1
app,org.thoughtcrime.securesms.util,IOFunction,0,0,1,0,6,1,0,0,-1.0,1,0
app,org.thoughtcrime.securesms.util,JsonUtils,2,0,13,13,53,14,0,0,0.23076923076923078,24,0
