Project Name,Package Name,Type Name,Code Smell
dubbo-compatible,com.alibaba.dubbo.cache,Cache,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.cache.support,AbstractCacheFactory,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.compiler,Compiler,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.compiler,Compiler,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common,Constants,Deficient Encapsulation
dubbo-compatible,com.alibaba.dubbo.common,Constants,Broken Modularization
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.common,URL,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.common.extension,ExtensionFactory,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.extension,ExtensionFactory,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.logger,LoggerAdapter,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.logger,LoggerAdapter,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectInput,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectInput,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectOutput,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectOutput,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.serialize,Serialization,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.store,DataStore,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.common.store,DataStore,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.threadpool,ThreadPool,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.common.utils,UrlUtils,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.config,ArgumentConfig,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.container,Container,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.container,Container,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.container.page,MenuComparator,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.container.page,ResourceFilter,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.container.page.pages,HomePageHandler,Unutilized Abstraction
