Project Name,Package Name,Type Name,Method Name,Code Smell
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.common,URL,URL,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.common,URL,setProtocol,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,setUsername,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,setPassword,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,setHost,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,setPort,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,setPath,Long Statement
dubbo-compatible,com.alibaba.dubbo.common,URL,getOriginalURL,Long Statement
dubbo-compatible,com.alibaba.dubbo.common.utils,UrlUtils,parseURLs,Long Statement
dubbo-compatible,com.alibaba.dubbo.config,ServiceConfig,getMonitor,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,MenuComparator,compare,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,Page,Page,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,doPost,Complex Conditional
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,doPost,Complex Method
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,doPost,Long Method
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,doPost,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,doPost,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,PageServlet,writeTable,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page,ResourceFilter,doFilter,Complex Method
dubbo-compatible,com.alibaba.dubbo.container.page,ResourceFilter,doFilter,Magic Number
dubbo-compatible,com.alibaba.dubbo.container.page,ResourceFilter,getInputStream,Empty catch clause
dubbo-compatible,com.alibaba.dubbo.container.page.pages,LogPageHandler,LogPageHandler,Empty catch clause
dubbo-compatible,com.alibaba.dubbo.container.page.pages,LogPageHandler,handle,Empty catch clause
dubbo-compatible,com.alibaba.dubbo.container.page.pages,LogPageHandler,handle,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page.pages,StatusPageHandler,handle,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page.pages,SystemPageHandler,handle,Long Statement
dubbo-compatible,com.alibaba.dubbo.container.page.pages,SystemPageHandler,formatUptime,Complex Method
dubbo-compatible,com.alibaba.dubbo.monitor,Monitor,lookup,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry,Registry,subscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry,Registry,unsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry,Registry,lookup,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,getRegistered,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,getSubscribed,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,getNotified,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,getCacheUrls,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,lookup,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,notify,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,subscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,unsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,subscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,unsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,AbstractRegistry,convertToNotifyListeners,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,removeFailedSubscribedTask,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,removeFailedUnsubscribedTask,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,subscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,unsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,notify,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,doNotify,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,FailbackRegistry,doUnsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.registry.support,CompatibleFailbackRegistry,doUnsubscribe,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,Directory,list,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,LoadBalance,select,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,LoadBalance,select,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,Router,route,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,Router,route,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster,RuleConverter,convert,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc.cluster.loadbalance,AbstractLoadBalance,getWeight,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,RpcInvocation,Complex Method
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,RpcInvocation,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,RpcInvocation,Long Statement
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,RpcInvocation,Long Parameter List
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,toString,Long Statement
dubbo-compatible,org.apache.dubbo.cache,CacheTest,testCacheFactory,Long Statement
dubbo-compatible,org.apache.dubbo.common.extension,ExtensionTest,testLoadActivateExtension,Long Statement
dubbo-compatible,org.apache.dubbo.common.extension,ExtensionTest,testLoadActivateExtension,Magic Number
