Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
dubbo-compatible,com.alibaba.dubbo.cache,CacheFactory,getCache,0,1,2
dubbo-compatible,com.alibaba.dubbo.cache,CacheFactory,getCache,3,1,2
dubbo-compatible,com.alibaba.dubbo.cache.support,AbstractCacheFactory,getCache,10,2,2
dubbo-compatible,com.alibaba.dubbo.cache.support,AbstractCacheFactory,createCache,0,1,1
dubbo-compatible,com.alibaba.dubbo.cache.support,AbstractCacheFactory,getCache,3,1,2
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,DelegateURL,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,valueOf,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getProtocol,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setProtocol,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getUsername,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setUsername,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getPassword,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setPassword,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getAuthority,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getHost,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setHost,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getIp,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getPort,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setPort,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getPort,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getAddress,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setAddress,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getBackupAddress,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getBackupAddress,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getPath,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,setPath,3,1,1
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getAbsolutePath,3,1,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,getParameters,3,1,0
