Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
dubbo-compatible,com.alibaba.dubbo.cache,Cache,0,0,0,0,2,0,0,0,-1.0,2,0
dubbo-compatible,com.alibaba.dubbo.cache,CacheFactory,0,0,2,0,6,2,0,0,-1.0,1,2
dubbo-compatible,com.alibaba.dubbo.cache.support,AbstractCacheFactory,1,0,3,2,17,4,0,0,0.0,0,3
dubbo-compatible,com.alibaba.dubbo.common.compiler,Compiler,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common,Constants,252,252,0,0,254,0,0,0,-1.0,6,0
dubbo-compatible,com.alibaba.dubbo.common,DelegateURL,1,0,202,202,609,202,0,1,0.019801980198019802,0,0
dubbo-compatible,com.alibaba.dubbo.common,URL,0,0,117,116,379,121,1,0,-1.0,40,1
dubbo-compatible,com.alibaba.dubbo.common.extension,ExtensionFactory,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common.logger,LoggerAdapter,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectInput,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common.serialize,ObjectOutput,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common.serialize,Serialization,0,0,4,0,10,4,0,0,-1.0,0,1
dubbo-compatible,com.alibaba.dubbo.common.status,Status,0,0,3,3,11,3,0,0,-1.0,1,0
dubbo-compatible,com.alibaba.dubbo.common.status,StatusChecker,0,0,1,0,3,1,0,0,-1.0,1,0
dubbo-compatible,com.alibaba.dubbo.common.store,DataStore,0,0,0,0,2,0,0,0,-1.0,0,0
dubbo-compatible,com.alibaba.dubbo.common.threadpool,ThreadPool,0,0,2,0,6,2,0,0,-1.0,0,1
dubbo-compatible,com.alibaba.dubbo.common.utils,UrlUtils,0,0,19,19,63,19,0,0,-1.0,0,1
dubbo-compatible,com.alibaba.dubbo.config,ApplicationConfig,0,0,5,5,17,5,0,0,-1.0,7,2
