Project Name,Package Name,Type Name,Code Smell
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,Deficient Encapsulation
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionContributionService,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,Rebellious Hierarchy
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,Deficient Encapsulation
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,Cyclic-Dependent Modularization
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,Cyclic-Dependent Modularization
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,Cyclic-Dependent Modularization
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,Cyclic-Dependent Modularization
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,SocketStreamProvider,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,PipeStreamProvider,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,StdIOStreamProvider,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeInputStream,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeOutputStream,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DependencyUtil,Deficient Encapsulation
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DisassemblerContentProvider,Unutilized Abstraction
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DisassemblerContentProvider,Deficient Encapsulation
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,Deficient Encapsulation
