file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,class,77,81,4,77,314,4,0,254,2415,0.94790405,0.21564482,0.6659619,91,8,38,47,6,0,44,0,0,0,27,9,0,27,0,0,9,0,26,1304,129,33,53,7,22,29,75,304,9,256,7,1,3,0,436,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\declaration-test\src\MovingObject.java,MovingObject,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\testbundle\src\testbundle\Ext.java,testbundle.Ext,class,1,3,2,1,3,1,0,0,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\multi-module\server\src\main\java\Server.java,Server,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\QuickFixProcessor.java,org.eclipse.jdt.ls.core.internal.corrections.QuickFixProcessor,class,20,22,2,20,152,1,0,80,10,0.0,0.0,0.0,5,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,49,307,9,3,8,1,0,2,8,12,3,13,3,0,0,1,59,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\PostfixCompletionTest.java,org.eclipse.jdt.ls.core.internal.handlers.PostfixCompletionTest,class,17,18,1,17,37,3,0,61,593,0.95714283,0.0022988506,0.0022988506,35,0,30,5,0,0,30,0,0,0,2,1,0,2,0,0,0,0,3,363,3,0,1,1,0,308,141,131,29,135,1,0,0,4,136,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\RenameHandlerTest.java,org.eclipse.jdt.ls.core.internal.handlers.RenameHandlerTest,class,26,27,1,26,29,2,0,62,0,0.6266667,0.7509881,0.7509881,25,0,23,2,0,0,23,0,0,0,3,0,0,3,0,0,0,0,1,376,4,1,0,0,0,449,37,196,24,189,2,0,0,0,146,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\reorg\JavaMoveProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.reorg.JavaMoveProcessor,class,30,32,2,30,55,2,0,59,0,0.7368421,0.6936508,0.7873016,38,0,35,2,1,0,36,0,0,0,4,0,0,4,0,0,0,0,9,210,32,1,10,3,0,2,2,26,0,22,3,1,0,0,136,17,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\managers\InvisibleProjectPreferenceChangeListenerTest.java,org.eclipse.jdt.ls.core.internal.managers.InvisibleProjectPreferenceChangeListenerTest,class,26,27,1,26,27,3,0,63,47,0.77272725,0.035714287,0.035714287,11,0,8,3,0,0,8,0,0,0,2,0,0,2,0,0,0,0,8,171,1,8,7,0,0,41,12,42,0,41,2,0,0,0,105,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\DiagnosticsHelper.java,org.eclipse.jdt.ls.core.internal.corrections.DiagnosticsHelper,class,4,16,12,4,5,1,0,8,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,23,5,0,0,2,0,0,2,2,1,2,1,0,0,0,39,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\multi-buildtools\src\main\java\com\example\Application.java,com.example.Application,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
