Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,getPreferences,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertResourceChange,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertRenamePackcageChange,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertTextChange,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,isEmpty,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,hasChanges,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,hasChanges,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,appendChanges,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,appendChanges,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextMode,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextMode,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextFormat,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextFormat,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextFormat,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,initializeNamedPipe,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,read,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,read,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,write,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,PipeStreamProvider,initializeNamedPipe,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeInputStream,read,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeInputStream,read,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,NamedPipeOutputStream,write,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DependencyUtil,getArtifact,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DependencyUtil,getLocalArtifactFile,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,DocumentAdapter,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,DocumentAdapter,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,DocumentAdapter,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,DocumentAdapter,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,DocumentAdapter,close,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeHover,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,isResolved,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,isResolved,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,isResolved,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeSignature,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,getDefaultValue,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeJavadoc,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeJavadoc,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeJavadoc,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,computeJavadoc,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,HoverInfoProvider,getString,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaClientConnection,executeClientCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaClientConnection,sendActionableNotification,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaClientConnection,telemetryEvent,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageServerPlugin,setPreferenceNodeId,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageServerPlugin,configureProxy,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JavaLanguageServerPlugin,getTemplateStore,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTDelegateCommandHandler,executeCommand,Missing default
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTEnvironmentUtils,getClientPort,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTEnvironmentUtils,getClientPort,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTEnvironmentUtils,inSocketStreamDebugMode,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolveCompilationUnit,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolvePackage,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getFakeCompilationUnit,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getPackageName,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getPackageName,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolveClassFile,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolveTypeRoot,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,discardClassFileWorkingCopy,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getClassFile,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,visit,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,find,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,find,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,find,Missing default
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toLocation,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toLocation,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toLocation,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toUri,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toUri,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,replaceUriFragment,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toRange,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toRange,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toRange,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,toRange,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,setPosition,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findElementAtSelection,Long Parameter List
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findElementsAtSelection,Long Parameter List
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isFolder,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findFolder,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findResource,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findResource,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findResource,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,findResource,Missing default
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isHiddenGeneratedElement,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isSilencedGeneratedAnnotation,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isSilencedGeneratedAnnotation,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isOnClassPath,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isOnClassPath,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isDefaultProject,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,setCompatibleVMs,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,setCompatibleVMs,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getFileOrFolder,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,computeFieldConstantFromTypeAST,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,computeFieldConstantFromTypeAST,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,getAnnotationMemberDefaultValue,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,addValue,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolveBinding,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,resolveMethod,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Complex Conditional
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Long Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Long Parameter List
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,searchDecompiledSources,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isExcludedFile,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JDTUtils,isGenerated,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileVisitor,visit,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileVisitor,find,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileVisitor,find,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ClassFileVisitor,find,Missing default
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitForJobsToComplete,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitForJobsToComplete,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitForJobsToComplete,Magic Number
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitForJobs,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitForJobs,Empty catch clause
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitUntilIndexesReady,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,waitUntilIndexesReady,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,acceptType,Long Parameter List
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,matches,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JobHelpers,matches,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BuildJobMatcher,matches,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,LoadingGradleVersionJobMatcher,matches,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureDefaultVM,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureJVMs,Complex Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureJVMs,Long Method
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureJVMs,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureJVMs,Long Statement
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,JVMConfigurator,configureJVMs,Long Statement
