Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,getScore,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,setScore,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,getDecorator,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,setDecorator,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,getData,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,CompletionRanking,setData,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionContributionService,registerRankingProvider,0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionContributionService,unregisterRankingProvider,0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionRankingProvider,rank,0,1,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.contentassist,ICompletionRankingProvider,onDidCompletionItemSelect,0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,initialize,6,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,applies,0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,isResolved,12,3,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,importToWorkspace,0,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,reset,0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,getPreferences,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,findProjectPathByConfigurationName,17,4,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,AbstractProjectImporter,eliminateNestedPaths,18,4,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,getSeverity,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,setSeverity,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,withSeverity,4,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,getMessage,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,setMessage,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,withMessage,4,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,getData,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,setData,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,withData,4,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,getCommands,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,setCommands,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,withCommands,4,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ActionableNotification,toString,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,connectClient,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,getClientConnection,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,getWorkingCopyOwner,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,sendStatus,5,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,unregisterCapability,7,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,registerCapability,3,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,registerCapability,7,2,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,toggleCapability,8,2,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,computeAsync,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,BaseJDTLanguageServer,toMonitor,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,CancellableProgressMonitor,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,isCanceled,14,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,done,4,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CancellableProgressMonitor,isDone,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertToWorkspaceEdit,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertToWorkspaceEdit,10,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertSingleChange,11,4,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertCompositeChange,11,3,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertResourceChange,25,8,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertMoveCompilationUnitChange,19,3,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertCreateCompilationUnitChange,9,1,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertRenamePackcageChange,36,4,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertCUResourceChange,10,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertCreateFileChange,6,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertTextChange,12,3,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertTextEdit,30,6,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,filterTextEdits,6,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,isEmpty,8,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,getNewCompilationUnit,11,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,isPrimaryType,5,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertPackageUpdateEdit,5,2,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,convertPackageUpdateEdit,8,2,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,updatePackageStatement,43,7,4
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,hasChanges,13,4,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,hasChanges,6,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,mergeChanges,3,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,mergeChanges,9,2,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ChangeUtil,appendChanges,25,8,3
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,CompletionUtils,2,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,sanitizeCompletion,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextMode,5,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,CompletionUtils,setInsertTextFormat,6,2,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getInputStream,0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getOutputStream,0,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,SocketStreamProvider,4,1,2
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,initializeConnection,5,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getInputStream,6,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getOutputStream,6,2,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,PipeStreamProvider,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getInputStream,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getOutputStream,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,initializeNamedPipe,27,3,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getInputStream,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,getOutputStream,3,1,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,NamedPipeInputStream,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,NamedPipeInputStream,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,read,22,4,0
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,NamedPipeOutputStream,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,NamedPipeOutputStream,3,1,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,write,17,2,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,write,26,4,1
eclipse.jdt.ls,org.eclipse.jdt.ls.core.internal,ConnectionStreamFactory,ConnectionStreamFactory,3,1,1
