Project Name,Package Name,Type Name,Code Smell
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.comments,AppendCommentCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.comments,SetCommentsCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateArrayCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateDataCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateStructureCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateStructureCmd,Broken Hierarchy
cmd,ghidra.app.cmd.data,CreateStructureInStructureCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.data,CreateStructureInStructureCmd,Broken Hierarchy
cmd,ghidra.app.cmd.data,RenameDataFieldCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.disassemble,MyListener,Unutilized Abstraction
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.equate,ClearEquateCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.equate,SetEquateCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddFunctionTagCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddMemoryParameterCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddMemoryVarCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddParameterCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddRegisterParameterCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddRegisterVarCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddStackParameterCommand,Unutilized Abstraction
cmd,ghidra.app.cmd.function,AddStackVarCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,CaptureFunctionDataTypesCmd,Cyclic-Dependent Modularization
cmd,ghidra.app.cmd.function,CaptureFunctionDataTypesListener,Cyclic-Dependent Modularization
cmd,ghidra.app.cmd.function,ChangeFunctionTagCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,ChangeFunctionTagCmd,Deficient Encapsulation
cmd,ghidra.app.cmd.function,CreateExternalFunctionCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,CreateFunctionCmd,Cyclic-Dependent Modularization
cmd,ghidra.app.cmd.function,CreateFunctionDefinitionCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,CreateFunctionTagCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,CreateMultipleFunctionsCmd,Unutilized Abstraction
cmd,ghidra.app.cmd.function,CreateThunkFunctionCmd,Cyclic-Dependent Modularization
cmd,ghidra.app.cmd.function,CreateThunkFunctionCmd,Insufficient Modularization
cmd,ghidra.app.cmd.function,DeleteFunctionCmd,Unutilized Abstraction
