Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,SharedReturnAnalysisCmd,6,1,3
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,118,26,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getFunctionBefore,8,2,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getRangeBefore,13,2,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getFunctionAfter,8,2,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getRangeAfter,13,2,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,createFunction,12,3,3
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,checkIfCouldHaveFallThruTo,17,5,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,checkAboveFunction,10,2,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,checkBelowFunction,21,5,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,checkAllJumpReferences,27,7,2
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,processFunctionJumpReferences,33,9,3
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getJumpRefsToFunction,19,5,3
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,getSingleFlowReferenceFrom,14,4,1
cmd,ghidra.app.cmd.comments,AppendCommentCmd,AppendCommentCmd,7,1,4
cmd,ghidra.app.cmd.comments,AppendCommentCmd,getName,3,1,0
cmd,ghidra.app.cmd.comments,AppendCommentCmd,applyTo,11,2,1
cmd,ghidra.app.cmd.comments,AppendCommentCmd,getCodeUnit,13,3,1
cmd,ghidra.app.cmd.comments,AppendCommentCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,CodeUnitInfoPasteCmd,6,1,4
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,getName,3,1,0
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,applyTo,30,7,1
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setFunction,65,11,3
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,findStackVar,9,3,3
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,findVar,10,3,3
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setLabel,37,7,4
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,createSymbols,10,2,5
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setComments,27,6,3
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,appendComment,20,5,2
cmd,ghidra.app.cmd.comments,SetCommentCmd,SetCommentCmd,6,1,3
cmd,ghidra.app.cmd.comments,SetCommentCmd,getName,3,1,0
cmd,ghidra.app.cmd.comments,SetCommentCmd,commentChanged,9,3,2
cmd,ghidra.app.cmd.comments,SetCommentCmd,applyTo,14,3,1
cmd,ghidra.app.cmd.comments,SetCommentCmd,getCodeUnit,13,3,1
cmd,ghidra.app.cmd.comments,SetCommentCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.comments,SetCommentCmd,createComment,4,1,4
cmd,ghidra.app.cmd.comments,SetCommentsCmd,SetCommentsCmd,8,1,6
cmd,ghidra.app.cmd.comments,SetCommentsCmd,getName,3,1,0
cmd,ghidra.app.cmd.comments,SetCommentsCmd,commentChanged,9,3,2
cmd,ghidra.app.cmd.comments,SetCommentsCmd,applyTo,32,7,1
cmd,ghidra.app.cmd.comments,SetCommentsCmd,getCodeUnit,13,3,1
cmd,ghidra.app.cmd.comments,SetCommentsCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,AbstractCreateStructureCmd,4,1,2
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,applyTo,12,1,1
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,createStructure,0,1,2
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,initializeStructureData,0,1,2
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,setNewDataType,3,1,1
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,getNewDataType,3,1,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,getStructureAddress,3,1,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,setStatusMsg,3,1,1
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,getStructureName,3,1,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateArrayCmd,CreateArrayCmd,6,1,4
cmd,ghidra.app.cmd.data,CreateArrayCmd,applyTo,31,2,1
cmd,ghidra.app.cmd.data,CreateArrayCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,CreateArrayCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,CreateArrayInStructureCmd,6,1,4
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,applyTo,47,7,1
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,clearStruct,9,3,3
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,CreateDataBackgroundCmd,3,1,2
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,CreateDataBackgroundCmd,6,1,3
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,applyTo,3,1,2
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,doApplyTo,37,6,2
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,createData,27,4,5
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,3,1,3
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,3,1,4
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,3,1,2
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,3,1,4
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,7,1,4
cmd,ghidra.app.cmd.data,CreateDataCmd,applyTo,10,1,1
cmd,ghidra.app.cmd.data,CreateDataCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,CreateDataCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,CreateDataInStructureBackgroundCmd,3,1,4
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,CreateDataInStructureBackgroundCmd,8,1,5
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,applyTo,58,10,2
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,CreateDataInStructureCmd,3,1,3
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,CreateDataInStructureCmd,6,1,4
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,applyTo,54,8,1
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateStringCmd,getStringDataType,3,1,2
cmd,ghidra.app.cmd.data,CreateStringCmd,CreateStringCmd,6,1,4
cmd,ghidra.app.cmd.data,CreateStringCmd,CreateStringCmd,3,1,4
cmd,ghidra.app.cmd.data,CreateStringCmd,CreateStringCmd,3,1,3
cmd,ghidra.app.cmd.data,CreateStringCmd,CreateStringCmd,3,1,1
cmd,ghidra.app.cmd.data,CreateStringCmd,CreateStringCmd,3,1,2
cmd,ghidra.app.cmd.data,CreateStringCmd,applyTo,11,1,1
cmd,ghidra.app.cmd.data,CreateStringCmd,getStatusMsg,3,1,0
cmd,ghidra.app.cmd.data,CreateStringCmd,getName,3,1,0
cmd,ghidra.app.cmd.data,CreateStructureCmd,CreateStructureCmd,3,1,2
cmd,ghidra.app.cmd.data,CreateStructureCmd,CreateStructureCmd,4,1,3
cmd,ghidra.app.cmd.data,CreateStructureCmd,CreateStructureCmd,5,1,2
cmd,ghidra.app.cmd.data,CreateStructureCmd,createStructure,6,2,2
cmd,ghidra.app.cmd.data,CreateStructureCmd,initializeStructureData,24,1,2
cmd,ghidra.app.cmd.data,CreateStructureCmd,findExistingRefs,13,3,4
cmd,ghidra.app.cmd.data,CreateStructureCmd,addRefs,5,2,3
cmd,ghidra.app.cmd.data,CreateStructureInStructureCmd,CreateStructureInStructureCmd,3,1,3
