Project Name,Package Name,Type Name,Code Smell
guava,com.google.common.base,Absent,Cyclic-Dependent Modularization
guava,com.google.common.base,AbstractIterator,Unutilized Abstraction
guava,com.google.common.base,Ascii,Deficient Encapsulation
guava,com.google.common.base,CharMatcher,Wide Hierarchy
guava,com.google.common.base,CharMatcher,Cyclic-Dependent Modularization
guava,com.google.common.base,CharMatcher,Insufficient Modularization
guava,com.google.common.base,FastMatcher,Unutilized Abstraction
guava,com.google.common.base,NamedFastMatcher,Unutilized Abstraction
guava,com.google.common.base,NamedFastMatcher,Broken Hierarchy
guava,com.google.common.base,NegatedFastMatcher,Unutilized Abstraction
guava,com.google.common.base,NegatedFastMatcher,Broken Hierarchy
guava,com.google.common.base,BitSetMatcher,Unutilized Abstraction
guava,com.google.common.base,BitSetMatcher,Broken Hierarchy
guava,com.google.common.base,Any,Unutilized Abstraction
guava,com.google.common.base,Any,Broken Hierarchy
guava,com.google.common.base,Any,Cyclic-Dependent Modularization
guava,com.google.common.base,None,Unutilized Abstraction
guava,com.google.common.base,None,Broken Hierarchy
guava,com.google.common.base,None,Cyclic-Dependent Modularization
guava,com.google.common.base,Whitespace,Unutilized Abstraction
guava,com.google.common.base,Whitespace,Broken Hierarchy
guava,com.google.common.base,Whitespace,Cyclic-Dependent Modularization
guava,com.google.common.base,BreakingWhitespace,Cyclic-Dependent Modularization
guava,com.google.common.base,Ascii,Unutilized Abstraction
guava,com.google.common.base,Ascii,Broken Hierarchy
guava,com.google.common.base,RangesMatcher,Unutilized Abstraction
guava,com.google.common.base,Digit,Unutilized Abstraction
guava,com.google.common.base,Digit,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaDigit,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaLetter,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaLetterOrDigit,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaUpperCase,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaLowerCase,Cyclic-Dependent Modularization
guava,com.google.common.base,JavaIsoControl,Unutilized Abstraction
guava,com.google.common.base,JavaIsoControl,Broken Hierarchy
guava,com.google.common.base,JavaIsoControl,Cyclic-Dependent Modularization
guava,com.google.common.base,Invisible,Unutilized Abstraction
guava,com.google.common.base,Invisible,Cyclic-Dependent Modularization
guava,com.google.common.base,SingleWidth,Unutilized Abstraction
guava,com.google.common.base,SingleWidth,Cyclic-Dependent Modularization
guava,com.google.common.base,Negated,Unutilized Abstraction
guava,com.google.common.base,And,Unutilized Abstraction
guava,com.google.common.base,Or,Unutilized Abstraction
guava,com.google.common.base,Is,Unutilized Abstraction
guava,com.google.common.base,IsNot,Unutilized Abstraction
guava,com.google.common.base,IsEither,Unutilized Abstraction
guava,com.google.common.base,IsEither,Broken Hierarchy
guava,com.google.common.base,AnyOf,Unutilized Abstraction
guava,com.google.common.base,InRange,Unutilized Abstraction
guava,com.google.common.base,InRange,Broken Hierarchy
guava,com.google.common.base,ForPredicate,Unutilized Abstraction
guava,com.google.common.base,Charsets,Deficient Encapsulation
guava,com.google.common.base,Converter,Cyclic-Dependent Modularization
guava,com.google.common.base,Converter,Insufficient Modularization
guava,com.google.common.base,ReverseConverter,Cyclic-Dependent Modularization
guava,com.google.common.base,ConverterComposition,Cyclic-Dependent Modularization
guava,com.google.common.base,IdentityConverter,Cyclic-Dependent Modularization
guava,com.google.common.base,Defaults,Unutilized Abstraction
guava,com.google.common.base,Enums,Cyclic-Dependent Modularization
guava,com.google.common.base,StringConverter,Unutilized Abstraction
guava,com.google.common.base,Equivalence,Cyclic-Dependent Modularization
guava,com.google.common.base,Wrapper,Cyclic-Dependent Modularization
guava,com.google.common.base,EquivalentToPredicate,Cyclic-Dependent Modularization
guava,com.google.common.base,ExtraObjectsMethodsForWeb,Unnecessary Abstraction
guava,com.google.common.base,ExtraObjectsMethodsForWeb,Unutilized Abstraction
guava,com.google.common.base,FinalizablePhantomReference,Unutilized Abstraction
guava,com.google.common.base,SystemLoader,Unutilized Abstraction
guava,com.google.common.base,DecoupledLoader,Unutilized Abstraction
guava,com.google.common.base,DirectLoader,Unutilized Abstraction
guava,com.google.common.base,FinalizableSoftReference,Unutilized Abstraction
guava,com.google.common.base,FinalizableWeakReference,Unutilized Abstraction
guava,com.google.common.base,Functions,Insufficient Modularization
guava,com.google.common.base,Java8Compatibility,Unutilized Abstraction
guava,com.google.common.base,JdkPattern,Unutilized Abstraction
guava,com.google.common.base,JdkMatcher,Unutilized Abstraction
guava,com.google.common.base,Joiner,Insufficient Modularization
guava,com.google.common.base,MoreObjects,Insufficient Modularization
guava,com.google.common.base,ValueHolder,Unnecessary Abstraction
guava,com.google.common.base,UnconditionalValueHolder,Unnecessary Abstraction
guava,com.google.common.base,NullnessCasts,Unutilized Abstraction
guava,com.google.common.base,Objects,Unutilized Abstraction
guava,com.google.common.base,Objects,Broken Hierarchy
guava,com.google.common.base,Optional,Cyclic-Dependent Modularization
guava,com.google.common.base,Platform,Cyclic-Dependent Modularization
guava,com.google.common.base,JdkPatternCompiler,Unutilized Abstraction
guava,com.google.common.base,Preconditions,Insufficient Modularization
guava,com.google.common.base,Predicate,Wide Hierarchy
guava,com.google.common.base,Predicates,Cyclic-Dependent Modularization
guava,com.google.common.base,Predicates,Insufficient Modularization
guava,com.google.common.base,AndPredicate,Cyclic-Dependent Modularization
guava,com.google.common.base,OrPredicate,Cyclic-Dependent Modularization
guava,com.google.common.base,ContainsPatternFromStringPredicate,Unutilized Abstraction
guava,com.google.common.base,SmallCharMatcher,Unutilized Abstraction
guava,com.google.common.base,SmallCharMatcher,Broken Hierarchy
guava,com.google.common.base,Splitter,Cyclic-Dependent Modularization
guava,com.google.common.base,Splitter,Insufficient Modularization
guava,com.google.common.base,MapSplitter,Unutilized Abstraction
guava,com.google.common.base,Strategy,Cyclic-Dependent Modularization
guava,com.google.common.base,SplittingIterator,Unutilized Abstraction
guava,com.google.common.base,Suppliers,Unutilized Abstraction
guava,com.google.common.base,Suppliers,Unexploited Encapsulation
guava,com.google.common.base,Suppliers,Missing Hierarchy
guava,com.google.common.base,Suppliers,Insufficient Modularization
guava,com.google.common.base,MemoizingSupplier,Unutilized Abstraction
guava,com.google.common.base,NonSerializableMemoizingSupplier,Unutilized Abstraction
guava,com.google.common.base,ExpiringMemoizingSupplier,Unutilized Abstraction
guava,com.google.common.base,ThreadSafeSupplier,Unutilized Abstraction
guava,com.google.common.base,SupplierFunction,Unnecessary Abstraction
guava,com.google.common.base,SupplierFunction,Unutilized Abstraction
guava,com.google.common.base,Verify,Insufficient Modularization
