Project Name,Package Name,Type Name,Method Name,Code Smell
guava,com.google.common.base,Absent,hashCode,Magic Number
guava,com.google.common.base,AbstractIterator,hasNext,Missing default
guava,com.google.common.base,Ascii,truncate,Long Statement
guava,com.google.common.base,Ascii,equalsIgnoreCase,Magic Number
guava,com.google.common.base,CharMatcher,anyOf,Magic Number
guava,com.google.common.base,CharMatcher,anyOf,Missing default
guava,com.google.common.base,CharMatcher,precomputedInternal,Long Statement
guava,com.google.common.base,CharMatcher,precomputedInternal,Magic Number
guava,com.google.common.base,CharMatcher,precomputedPositive,Long Statement
guava,com.google.common.base,CharMatcher,precomputedPositive,Magic Number
guava,com.google.common.base,CharMatcher,precomputedPositive,Missing default
guava,com.google.common.base,CharMatcher,isSmall,Magic Number
guava,com.google.common.base,CharMatcher,replaceFrom,Magic Number
guava,com.google.common.base,CharMatcher,replaceFrom,Magic Number
guava,com.google.common.base,CharMatcher,replaceFrom,Magic Number
guava,com.google.common.base,CharMatcher,collapseFrom,Complex Conditional
guava,com.google.common.base,CharMatcher,trimAndCollapseFrom,Long Statement
guava,com.google.common.base,CharMatcher,finishCollapseFrom,Long Parameter List
guava,com.google.common.base,CharMatcher,showCharacter,Magic Number
guava,com.google.common.base,CharMatcher,showCharacter,Magic Number
guava,com.google.common.base,CharMatcher,showCharacter,Magic Number
guava,com.google.common.base,CharMatcher,showCharacter,Magic Number
guava,com.google.common.base,CharMatcher,matches,Complex Method
guava,com.google.common.base,CharMatcher,matches,Missing default
guava,com.google.common.base,CharMatcher,nines,Magic Number
guava,com.google.common.base,CharMatcher,SingleWidth,Long Statement
guava,com.google.common.base,BreakingWhitespace,matches,Complex Method
guava,com.google.common.base,BreakingWhitespace,matches,Missing default
guava,com.google.common.base,Digit,nines,Magic Number
guava,com.google.common.base,SingleWidth,SingleWidth,Long Statement
guava,com.google.common.base,Converter,hashCode,Magic Number
guava,com.google.common.base,Converter,hashCode,Magic Number
guava,com.google.common.base,ConverterComposition,hashCode,Magic Number
guava,com.google.common.base,FunctionBasedConverter,hashCode,Magic Number
guava,com.google.common.base,Defaults,defaultValue,Complex Method
guava,com.google.common.base,FinalizableReferenceQueue,FinalizableReferenceQueue,Long Statement
guava,com.google.common.base,Joiner,skipNulls,Long Statement
guava,com.google.common.base,Joiner,iterable,Magic Number
guava,com.google.common.base,Joiner,iterable,Magic Number
guava,com.google.common.base,Joiner,iterable,Missing default
guava,com.google.common.base,Joiner,size,Magic Number
guava,com.google.common.base,Joiner,get,Magic Number
guava,com.google.common.base,Joiner,get,Missing default
guava,com.google.common.base,MoreObjects,isEmpty,Complex Method
guava,com.google.common.base,MoreObjects,toString,Complex Conditional
guava,com.google.common.base,MoreObjects,toString,Long Statement
guava,com.google.common.base,MoreObjects,toString,Magic Number
guava,com.google.common.base,ToStringHelper,isEmpty,Complex Method
guava,com.google.common.base,ToStringHelper,toString,Complex Conditional
guava,com.google.common.base,ToStringHelper,toString,Long Statement
guava,com.google.common.base,ToStringHelper,toString,Magic Number
guava,com.google.common.base,PairwiseEquivalence,doHash,Magic Number
guava,com.google.common.base,PairwiseEquivalence,doHash,Magic Number
guava,com.google.common.base,PairwiseEquivalence,hashCode,Magic Number
guava,com.google.common.base,Preconditions,checkArgument,Long Parameter List
guava,com.google.common.base,Preconditions,checkArgument,Long Parameter List
guava,com.google.common.base,Preconditions,checkState,Long Parameter List
guava,com.google.common.base,Preconditions,checkState,Long Parameter List
guava,com.google.common.base,Preconditions,checkNotNull,Long Parameter List
guava,com.google.common.base,Preconditions,checkNotNull,Long Parameter List
guava,com.google.common.base,Preconditions,checkPositionIndexes,Complex Conditional
guava,com.google.common.base,Predicates,hashCode,Magic Number
guava,com.google.common.base,Predicates,hashCode,Magic Number
guava,com.google.common.base,Predicates,toString,Long Statement
guava,com.google.common.base,AndPredicate,hashCode,Magic Number
guava,com.google.common.base,OrPredicate,hashCode,Magic Number
guava,com.google.common.base,ContainsPatternPredicate,toString,Long Statement
guava,com.google.common.base,Present,transform,Long Statement
guava,com.google.common.base,Present,hashCode,Magic Number
guava,com.google.common.base,SmallCharMatcher,smear,Magic Number
guava,com.google.common.base,SmallCharMatcher,chooseTableSize,Magic Number
guava,com.google.common.base,Splitter,onPatternInternal,Long Statement
guava,com.google.common.base,Splitter,computeNext,Complex Method
guava,com.google.common.base,SplittingIterator,computeNext,Complex Method
guava,com.google.common.base,Stopwatch,abbreviate,Complex Method
guava,com.google.common.base,Stopwatch,abbreviate,Missing default
guava,com.google.common.base,Strings,validSurrogatePairAt,Long Statement
guava,com.google.common.base,Strings,validSurrogatePairAt,Magic Number
guava,com.google.common.base,Strings,lenientFormat,Magic Number
guava,com.google.common.base,Strings,lenientFormat,Magic Number
guava,com.google.common.base,Strings,lenientToString,Long Statement
guava,com.google.common.base,Suppliers,memoize,Long Statement
guava,com.google.common.base,Suppliers,toString,Long Statement
guava,com.google.common.base,NonSerializableMemoizingSupplier,toString,Long Statement
guava,com.google.common.base,Throwables,getCausalChain,Magic Number
guava,com.google.common.base,Throwables,jlaStackTrace,Long Statement
guava,com.google.common.base,Throwables,get,Long Statement
guava,com.google.common.base,Utf8,encodedLength,Magic Number
guava,com.google.common.base,Utf8,encodedLength,Magic Number
guava,com.google.common.base,Utf8,encodedLength,Magic Number
guava,com.google.common.base,Utf8,encodedLength,Magic Number
guava,com.google.common.base,Utf8,encodedLength,Magic Number
guava,com.google.common.base,Utf8,encodedLengthGeneral,Magic Number
guava,com.google.common.base,Utf8,encodedLengthGeneral,Magic Number
guava,com.google.common.base,Utf8,encodedLengthGeneral,Magic Number
guava,com.google.common.base,Utf8,encodedLengthGeneral,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Complex Conditional
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Complex Conditional
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Complex Method
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Long Statement
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Long Statement
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Utf8,isWellFormedSlowPath,Magic Number
guava,com.google.common.base,Verify,verify,Long Parameter List
guava,com.google.common.base,Verify,verify,Long Parameter List
guava,com.google.common.base.internal,Finalizer,Finalizer,Long Identifier
guava,com.google.common.base.internal,Finalizer,run,Empty catch clause
guava,com.google.common.base.internal,Finalizer,getFinalizeReferentMethod,Long Identifier
guava,com.google.common.base.internal,Finalizer,getInheritableThreadLocalsField,Long Statement
guava,com.google.common.cache,AbstractCache,snapshot,Long Statement
guava,com.google.common.cache,SimpleStatsCounter,snapshot,Long Statement
guava,com.google.common.cache,CacheBuilder,weigher,Long Statement
guava,com.google.common.cache,CacheBuilder,toString,Complex Method
guava,com.google.common.cache,CacheBuilderSpec,parse,Magic Number
guava,com.google.common.cache,CacheBuilderSpec,toCacheBuilder,Complex Method
guava,com.google.common.cache,CacheBuilderSpec,toCacheBuilder,Missing default
guava,com.google.common.cache,CacheBuilderSpec,toCacheBuilder,Missing default
guava,com.google.common.cache,CacheBuilderSpec,hashCode,Long Statement
guava,com.google.common.cache,CacheBuilderSpec,equals,Long Statement
guava,com.google.common.cache,CacheBuilderSpec,parse,Missing default
guava,com.google.common.cache,DurationParser,parse,Missing default
guava,com.google.common.cache,CacheStats,CacheStats,Long Parameter List
guava,com.google.common.cache,CacheStats,minus,Long Statement
guava,com.google.common.cache,CacheStats,plus,Long Statement
guava,com.google.common.cache,CacheStats,equals,Long Statement
guava,com.google.common.cache,CacheStats,toString,Long Statement
guava,com.google.common.cache,LocalCache,LocalCache,Complex Method
guava,com.google.common.cache,LocalCache,LocalCache,Long Statement
guava,com.google.common.cache,LocalCache,LocalCache,Magic Number
guava,com.google.common.cache,LocalCache,LocalCache,Magic Number
guava,com.google.common.cache,LocalCache,referenceValue,Long Statement
guava,com.google.common.cache,LocalCache,referenceValue,Long Statement
guava,com.google.common.cache,LocalCache,getFactory,Long Statement
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,rehash,Magic Number
guava,com.google.common.cache,LocalCache,initTable,Magic Number
guava,com.google.common.cache,LocalCache,initTable,Magic Number
guava,com.google.common.cache,LocalCache,lockedGetOrLoad,Complex Conditional
guava,com.google.common.cache,LocalCache,lockedGetOrLoad,Complex Method
guava,com.google.common.cache,LocalCache,compute,Complex Conditional
guava,com.google.common.cache,LocalCache,compute,Complex Method
guava,com.google.common.cache,LocalCache,scheduleRefresh,Complex Conditional
