Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
guava,com.google.common.base,Absent,withType,3,1,0
guava,com.google.common.base,Absent,Absent,2,1,0
guava,com.google.common.base,Absent,isPresent,3,1,0
guava,com.google.common.base,Absent,get,3,1,0
guava,com.google.common.base,Absent,or,3,1,1
guava,com.google.common.base,Absent,or,3,1,1
guava,com.google.common.base,Absent,or,3,1,1
guava,com.google.common.base,Absent,orNull,3,1,0
guava,com.google.common.base,Absent,asSet,3,1,0
guava,com.google.common.base,Absent,transform,4,1,1
guava,com.google.common.base,Absent,equals,3,1,1
guava,com.google.common.base,Absent,hashCode,3,1,0
guava,com.google.common.base,Absent,toString,3,1,0
guava,com.google.common.base,Absent,readResolve,3,1,0
guava,com.google.common.base,AbstractIterator,AbstractIterator,2,1,0
guava,com.google.common.base,AbstractIterator,computeNext,0,1,0
guava,com.google.common.base,AbstractIterator,endOfData,4,1,0
guava,com.google.common.base,AbstractIterator,hasNext,11,3,0
guava,com.google.common.base,AbstractIterator,tryToComputeNext,9,2,0
guava,com.google.common.base,AbstractIterator,next,9,2,0
guava,com.google.common.base,AbstractIterator,remove,3,1,0
guava,com.google.common.base,Ascii,Ascii,2,1,0
guava,com.google.common.base,Ascii,toLowerCase,16,5,1
guava,com.google.common.base,Ascii,toLowerCase,10,3,1
guava,com.google.common.base,Ascii,toLowerCase,3,1,1
guava,com.google.common.base,Ascii,toUpperCase,16,5,1
guava,com.google.common.base,Ascii,toUpperCase,10,3,1
guava,com.google.common.base,Ascii,toUpperCase,3,1,1
guava,com.google.common.base,Ascii,isLowerCase,3,1,1
guava,com.google.common.base,Ascii,isUpperCase,3,1,1
guava,com.google.common.base,Ascii,truncate,13,3,3
guava,com.google.common.base,Ascii,equalsIgnoreCase,22,6,2
guava,com.google.common.base,Ascii,getAlphaIndex,3,1,1
guava,com.google.common.base,StringConverter,StringConverter,4,1,2
guava,com.google.common.base,StringConverter,doForward,3,1,1
guava,com.google.common.base,StringConverter,doBackward,3,1,1
guava,com.google.common.base,StringConverter,equals,7,2,1
guava,com.google.common.base,StringConverter,hashCode,3,1,0
guava,com.google.common.base,StringConverter,toString,3,1,0
guava,com.google.common.base,CharMatcher,any,3,1,0
guava,com.google.common.base,CharMatcher,none,3,1,0
guava,com.google.common.base,CharMatcher,whitespace,3,1,0
guava,com.google.common.base,CharMatcher,breakingWhitespace,3,1,0
guava,com.google.common.base,CharMatcher,ascii,3,1,0
guava,com.google.common.base,CharMatcher,digit,3,1,0
guava,com.google.common.base,CharMatcher,javaDigit,3,1,0
guava,com.google.common.base,CharMatcher,javaLetter,3,1,0
guava,com.google.common.base,CharMatcher,javaLetterOrDigit,3,1,0
guava,com.google.common.base,CharMatcher,javaUpperCase,3,1,0
guava,com.google.common.base,CharMatcher,javaLowerCase,3,1,0
guava,com.google.common.base,CharMatcher,javaIsoControl,3,1,0
guava,com.google.common.base,CharMatcher,invisible,3,1,0
guava,com.google.common.base,CharMatcher,singleWidth,3,1,0
guava,com.google.common.base,CharMatcher,is,3,1,1
guava,com.google.common.base,CharMatcher,isNot,3,1,1
guava,com.google.common.base,CharMatcher,anyOf,12,4,1
guava,com.google.common.base,CharMatcher,noneOf,3,1,1
guava,com.google.common.base,CharMatcher,inRange,3,1,2
guava,com.google.common.base,CharMatcher,forPredicate,3,1,1
guava,com.google.common.base,CharMatcher,CharMatcher,2,1,0
guava,com.google.common.base,CharMatcher,matches,0,1,1
guava,com.google.common.base,CharMatcher,negate,3,1,0
guava,com.google.common.base,CharMatcher,and,3,1,1
guava,com.google.common.base,CharMatcher,or,3,1,1
guava,com.google.common.base,CharMatcher,precomputed,3,1,0
guava,com.google.common.base,CharMatcher,precomputedInternal,21,2,0
guava,com.google.common.base,CharMatcher,toString,3,1,0
guava,com.google.common.base,CharMatcher,precomputedPositive,14,4,3
guava,com.google.common.base,CharMatcher,isSmall,3,1,2
guava,com.google.common.base,CharMatcher,setBits,7,3,1
guava,com.google.common.base,CharMatcher,matchesAnyOf,3,1,1
guava,com.google.common.base,CharMatcher,matchesAllOf,8,3,1
guava,com.google.common.base,CharMatcher,matchesNoneOf,3,1,1
guava,com.google.common.base,CharMatcher,indexIn,3,1,1
guava,com.google.common.base,CharMatcher,indexIn,10,3,2
guava,com.google.common.base,CharMatcher,lastIndexIn,8,3,1
guava,com.google.common.base,CharMatcher,countIn,9,3,1
guava,com.google.common.base,CharMatcher,removeFrom,24,6,1
guava,com.google.common.base,CharMatcher,retainFrom,3,1,1
guava,com.google.common.base,CharMatcher,replaceFrom,15,4,2
guava,com.google.common.base,CharMatcher,replaceFrom,26,5,2
guava,com.google.common.base,CharMatcher,trimFrom,16,5,1
guava,com.google.common.base,CharMatcher,trimLeadingFrom,9,3,1
guava,com.google.common.base,CharMatcher,trimTrailingFrom,9,3,1
guava,com.google.common.base,CharMatcher,collapseFrom,16,4,2
guava,com.google.common.base,CharMatcher,trimAndCollapseFrom,12,3,2
guava,com.google.common.base,CharMatcher,finishCollapseFrom,16,4,6
guava,com.google.common.base,CharMatcher,apply,3,1,1
guava,com.google.common.base,CharMatcher,toString,3,1,0
guava,com.google.common.base,CharMatcher,showCharacter,9,2,1
guava,com.google.common.base,CharMatcher,precomputed,3,1,0
guava,com.google.common.base,CharMatcher,negate,3,1,0
guava,com.google.common.base,CharMatcher,NamedFastMatcher,3,1,1
guava,com.google.common.base,CharMatcher,toString,3,1,0
guava,com.google.common.base,CharMatcher,NegatedFastMatcher,3,1,1
guava,com.google.common.base,CharMatcher,precomputed,3,1,0
guava,com.google.common.base,CharMatcher,BitSetMatcher,7,2,2
guava,com.google.common.base,CharMatcher,matches,3,1,1
guava,com.google.common.base,CharMatcher,setBits,3,1,1
guava,com.google.common.base,CharMatcher,Any,3,1,0
guava,com.google.common.base,CharMatcher,matches,3,1,1
guava,com.google.common.base,CharMatcher,indexIn,3,1,1
guava,com.google.common.base,CharMatcher,indexIn,5,1,2
guava,com.google.common.base,CharMatcher,lastIndexIn,3,1,1
guava,com.google.common.base,CharMatcher,matchesAllOf,4,1,1
guava,com.google.common.base,CharMatcher,matchesNoneOf,3,1,1
guava,com.google.common.base,CharMatcher,removeFrom,4,1,1
guava,com.google.common.base,CharMatcher,replaceFrom,5,1,2
guava,com.google.common.base,CharMatcher,replaceFrom,7,2,2
guava,com.google.common.base,CharMatcher,collapseFrom,3,1,2
guava,com.google.common.base,CharMatcher,trimFrom,4,1,1
guava,com.google.common.base,CharMatcher,countIn,3,1,1
guava,com.google.common.base,CharMatcher,and,3,1,1
guava,com.google.common.base,CharMatcher,or,4,1,1
guava,com.google.common.base,CharMatcher,negate,3,1,0
guava,com.google.common.base,CharMatcher,None,3,1,0
guava,com.google.common.base,CharMatcher,matches,3,1,1
guava,com.google.common.base,CharMatcher,indexIn,4,1,1
guava,com.google.common.base,CharMatcher,indexIn,5,1,2
guava,com.google.common.base,CharMatcher,lastIndexIn,4,1,1
guava,com.google.common.base,CharMatcher,matchesAllOf,3,1,1
guava,com.google.common.base,CharMatcher,matchesNoneOf,4,1,1
guava,com.google.common.base,CharMatcher,removeFrom,3,1,1
guava,com.google.common.base,CharMatcher,replaceFrom,3,1,2
guava,com.google.common.base,CharMatcher,replaceFrom,4,1,2
guava,com.google.common.base,CharMatcher,collapseFrom,3,1,2
guava,com.google.common.base,CharMatcher,trimFrom,3,1,1
guava,com.google.common.base,CharMatcher,trimLeadingFrom,3,1,1
guava,com.google.common.base,CharMatcher,trimTrailingFrom,3,1,1
guava,com.google.common.base,CharMatcher,countIn,4,1,1
guava,com.google.common.base,CharMatcher,and,4,1,1
guava,com.google.common.base,CharMatcher,or,3,1,1
guava,com.google.common.base,CharMatcher,negate,3,1,0
guava,com.google.common.base,CharMatcher,Whitespace,3,1,0
