Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
guava,com.google.common.base,Absent,2,0,14,11,49,14,0,1,0.9285714285714286,2,4
guava,com.google.common.base,AbstractIterator,2,0,7,3,47,11,1,0,0.42857142857142855,0,0
guava,com.google.common.base,Ascii,41,40,12,10,354,31,0,0,0.25,12,1
guava,com.google.common.base,StringConverter,3,0,6,3,28,7,0,2,0.0,3,1
guava,com.google.common.base,CharMatcher,39,0,169,129,1153,237,13,1,0.3727810650887574,34,18
guava,com.google.common.base,FastMatcher,0,0,2,2,11,2,5,2,-1.0,0,0
guava,com.google.common.base,NamedFastMatcher,1,0,2,1,12,2,7,3,0.0,0,0
guava,com.google.common.base,NegatedFastMatcher,0,0,2,1,11,2,0,3,-1.0,0,1
guava,com.google.common.base,BitSetMatcher,1,0,3,1,19,4,0,4,0.0,0,0
guava,com.google.common.base,Any,1,0,16,15,66,17,0,4,1.0,1,1
guava,com.google.common.base,None,1,0,18,17,68,18,0,4,1.0,1,1
guava,com.google.common.base,Whitespace,4,0,3,1,20,4,0,4,0.6666666666666666,1,1
guava,com.google.common.base,BreakingWhitespace,1,0,2,2,30,15,0,2,1.0,1,1
guava,com.google.common.base,Ascii,1,0,2,1,12,2,0,4,1.0,0,1
guava,com.google.common.base,RangesMatcher,3,0,3,2,33,6,3,2,0.0,0,0
guava,com.google.common.base,Digit,2,0,3,0,20,4,0,3,0.0,2,2
guava,com.google.common.base,JavaDigit,1,0,2,2,12,2,0,2,1.0,1,1
guava,com.google.common.base,JavaLetter,1,0,2,2,12,2,0,2,1.0,1,1
guava,com.google.common.base,JavaLetterOrDigit,1,0,2,2,12,2,0,2,1.0,1,1
guava,com.google.common.base,JavaUpperCase,1,0,2,2,12,2,0,2,1.0,1,1
guava,com.google.common.base,JavaLowerCase,1,0,2,2,12,2,0,2,1.0,1,1
guava,com.google.common.base,JavaIsoControl,1,0,2,1,12,2,0,4,1.0,1,1
guava,com.google.common.base,Invisible,3,0,1,0,11,1,0,3,0.0,1,1
guava,com.google.common.base,SingleWidth,1,0,1,0,9,1,0,3,0.0,1,1
guava,com.google.common.base,Negated,1,0,8,6,33,8,1,2,0.0,0,1
guava,com.google.common.base,And,2,0,4,2,25,4,0,2,0.0,0,1
guava,com.google.common.base,Or,2,0,4,2,21,4,0,2,0.0,0,1
