Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
intellij-sdk-docs,org.intellij.sdk.action,CustomDefaultActionGroup,getActionUpdateThread,3,1,0
intellij-sdk-docs,org.intellij.sdk.action,CustomDefaultActionGroup,update,5,1,1
intellij-sdk-docs,org.intellij.sdk.action,DynamicActionGroup,getChildren,3,1,1
intellij-sdk-docs,org.intellij.sdk.action,PopupDialogAction,getActionUpdateThread,3,1,0
intellij-sdk-docs,org.intellij.sdk.action,PopupDialogAction,PopupDialogAction,3,1,0
intellij-sdk-docs,org.intellij.sdk.action,PopupDialogAction,PopupDialogAction,3,1,3
intellij-sdk-docs,org.intellij.sdk.action,PopupDialogAction,actionPerformed,10,2,1
intellij-sdk-docs,org.intellij.sdk.action,PopupDialogAction,update,4,1,1
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,buildVisitor,33,5,2
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,visitBinaryExpression,14,4,1
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,isStringType,7,2,1
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,isNullLiteral,3,1,1
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,getName,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,applyFix,23,3,2
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspection,getFamilyName,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ReplaceWithEqualsQuickFix,getName,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ReplaceWithEqualsQuickFix,applyFix,23,3,2
intellij-sdk-docs,org.intellij.sdk.codeInspection,ReplaceWithEqualsQuickFix,getFamilyName,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,InspectionBundle,InspectionBundle,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,InspectionBundle,message,3,1,2
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspectionTest,setUp,5,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspectionTest,getTestDataPath,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspectionTest,testRelationalEq,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspectionTest,testRelationalNeq,3,1,0
intellij-sdk-docs,org.intellij.sdk.codeInspection,ComparingStringReferencesInspectionTest,doTest,9,1,1
intellij-sdk-docs,(default package),Eq,compareStrings,3,1,2
intellij-sdk-docs,(default package),Eq,compareStrings,3,1,2
intellij-sdk-docs,(default package),Neq,compareStrings,3,1,2
intellij-sdk-docs,(default package),Neq,compareStrings,3,1,2
intellij-sdk-docs,(default package),X,f,10,2,1
intellij-sdk-docs,(default package),X,f,3,1,1
intellij-sdk-docs,(default package),Test,main,6,1,1
intellij-sdk-docs,(default package),Test,main,3,1,1
intellij-sdk-docs,(default package),Test,main,3,1,1
intellij-sdk-docs,(default package),Test,main,3,1,1
intellij-sdk-docs,(default package),Test,main,2,1,1
intellij-sdk-docs,(default package),Test,main1,2,1,1
intellij-sdk-docs,(default package),Test,main2,3,1,1
intellij-sdk-docs,(default package),Test,main,3,1,1
intellij-sdk-docs,(default package),Test,main,3,1,1
intellij-sdk-docs,org.intellij.sdk.intention,ConditionalOperatorConverter,isAvailable,15,5,3
intellij-sdk-docs,org.intellij.sdk.intention,ConditionalOperatorConverter,invoke,79,15,3
intellij-sdk-docs,org.intellij.sdk.intention,ConditionalOperatorConverter,getText,3,1,0
