Project Name,Package Name,Type Name,Code Smell
opennlp,opennlp.tools.chunker,ChunkerEvaluationMonitor,Unnecessary Abstraction
opennlp,opennlp.tools.chunker,ChunkerEventStream,Unutilized Abstraction
opennlp,opennlp.tools.chunker,ChunkerME,Deficient Encapsulation
opennlp,opennlp.tools.chunker,ChunkerME,Cyclic-Dependent Modularization
opennlp,opennlp.tools.chunker,ChunkerModel,Cyclic-Dependent Modularization
opennlp,opennlp.tools.chunker,ChunkSampleStream,Unutilized Abstraction
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,Unutilized Abstraction
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,AbstractConverterTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,AbstractCrossValidatorTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,AbstractEvaluatorTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,AbstractEvaluatorTool,Broken Hierarchy
opennlp,opennlp.tools.cmdline,AbstractTrainerTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,IntegerArgumentFactory,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,BooleanArgumentFactory,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,StringArgumentFactory,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,FileArgumentFactory,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,CharsetArgumentFactory,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,BasicCmdLineTool,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,BasicCmdLineTool,Broken Hierarchy
opennlp,opennlp.tools.cmdline,CLI,Deficient Encapsulation
opennlp,opennlp.tools.cmdline,CLI,Unexploited Encapsulation
opennlp,opennlp.tools.cmdline,CLI,Missing Hierarchy
opennlp,opennlp.tools.cmdline,CLI,Cyclic-Dependent Modularization
opennlp,opennlp.tools.cmdline,CmdLineTool,Cyclic-Dependent Modularization
opennlp,opennlp.tools.cmdline,CmdLineUtil,Cyclic-Dependent Modularization
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,F1Comparator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,Insufficient Modularization
opennlp,opennlp.tools.cmdline,MatrixLabelComparator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,GroupedMatrixLabelComparator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,SimpleLabelComparator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,GroupedLabelComparator,Unutilized Abstraction
opennlp,opennlp.tools.cmdline,Stats,Unutilized Abstraction
