Project Name,Package Name,Type Name,Method Name,Code Smell
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,Long Parameter List
opennlp,opennlp.tools.chunker,ChunkerModel,validateArtifactMap,Complex Conditional
opennlp,opennlp.tools.chunker,ChunkerModel,validateArtifactMap,Long Statement
opennlp,opennlp.tools.chunker,ChunkerModel,validateArtifactMap,Long Statement
opennlp,opennlp.tools.chunker,ChunkerModel,validateArtifactMap,Magic Number
opennlp,opennlp.tools.chunker,ChunkSample,phrasesAsSpanList,Complex Conditional
opennlp,opennlp.tools.chunker,ChunkSample,phrasesAsSpanList,Magic Number
opennlp,opennlp.tools.chunker,ChunkSample,validateArguments,Long Statement
opennlp,opennlp.tools.chunker,ChunkSample,nicePrint,Complex Method
opennlp,opennlp.tools.chunker,ChunkSample,equals,Long Statement
opennlp,opennlp.tools.chunker,ChunkSampleStream,read,Magic Number
opennlp,opennlp.tools.chunker,ChunkSampleStream,read,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Long Parameter List
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Long Statement
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,validOutcome,Magic Number
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,validOutcome,Magic Number
opennlp,opennlp.tools.cmdline,AbstractConverterTool,getShortDescription,Magic Number
opennlp,opennlp.tools.cmdline,AbstractConverterTool,getShortDescription,Magic Number
opennlp,opennlp.tools.cmdline,AbstractConverterTool,run,Complex Conditional
opennlp,opennlp.tools.cmdline,AbstractTrainerTool,createTerminationIOException,Long Statement
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,getHelp,Long Statement
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,getHelp,Long Statement
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,Long Statement
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,Complex Method
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,Long Statement
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,Long Statement
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,Long Statement
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,methodNameToParameter,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,methodNameToParameter,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,methodNameToParameter,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,createUsage,Complex Method
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArgumentsLoudly,Complex Method
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArgumentsLoudly,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArgumentsLoudly,Magic Number
opennlp,opennlp.tools.cmdline,ArgumentParser,parse,Long Statement
opennlp,opennlp.tools.cmdline,CharsetArgumentFactory,parseArgument,Long Statement
opennlp,opennlp.tools.cmdline,CLI,usage,Magic Number
opennlp,opennlp.tools.cmdline,CLI,main,Complex Conditional
opennlp,opennlp.tools.cmdline,CLI,main,Complex Method
opennlp,opennlp.tools.cmdline,CLI,main,Magic Number
opennlp,opennlp.tools.cmdline,CmdLineTool,getName,Magic Number
opennlp,opennlp.tools.cmdline,CmdLineUtil,checkOutputFile,Complex Method
opennlp,opennlp.tools.cmdline,CmdLineUtil,writeModel,Magic Number
opennlp,opennlp.tools.cmdline,CmdLineUtil,getIntParameter,Empty catch clause
opennlp,opennlp.tools.cmdline,CmdLineUtil,getDoubleParameter,Empty catch clause
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Long Statement
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Long Statement
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Long Statement
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,Magic Number
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,getFMeasure,Magic Number
opennlp,opennlp.tools.cmdline,Stats,getFMeasure,Magic Number
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,printError,Long Parameter List
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,printError,Long Parameter List
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,printError,Long Parameter List
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,printError,Long Parameter List
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,generateAlphaLabel,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,generateAlphaLabel,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,matrixToString,Complex Method
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,matrixToString,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,matrixToString,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,matrixToString,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printGeneralStatistics,Long Statement
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printGeneralStatistics,Long Statement
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenOccurrencesRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenOccurrencesRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenOccurrencesRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTokenErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTagsErrorRank,Long Statement
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTagsErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printTagsErrorRank,Magic Number
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,printDetailedConfusionMatrix,Long Statement
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,compare,Complex Method
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,compare,Complex Method
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,getAccuracy,Magic Number
opennlp,opennlp.tools.cmdline,GroupedMatrixLabelComparator,compare,Complex Method
opennlp,opennlp.tools.cmdline,GroupedLabelComparator,compare,Complex Method
opennlp,opennlp.tools.cmdline,ConfusionMatrixLine,getAccuracy,Magic Number
opennlp,opennlp.tools.cmdline,GenerateManualTool,appendArgumentTable,Long Statement
opennlp,opennlp.tools.cmdline,GenerateManualTool,appendArgumentTable,Long Statement
opennlp,opennlp.tools.cmdline,GenerateManualTool,appendHeader,Long Statement
opennlp,opennlp.tools.cmdline,GenerateManualTool,appendCode,Long Statement
opennlp,opennlp.tools.cmdline,GenerateManualTool,splitLongLines,Empty catch clause
opennlp,opennlp.tools.cmdline,GenerateManualTool,splitLongLines,Magic Number
opennlp,opennlp.tools.cmdline,ModelLoader,load,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,startAndPrintThroughput,Long Statement
opennlp,opennlp.tools.cmdline,PerformanceMonitor,startAndPrintThroughput,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,startAndPrintThroughput,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,run,Long Statement
opennlp,opennlp.tools.cmdline,PerformanceMonitor,run,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,run,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,stopAndPrintFinalResult,Magic Number
opennlp,opennlp.tools.cmdline,PerformanceMonitor,stopAndPrintFinalResult,Magic Number
opennlp,opennlp.tools.cmdline,StreamFactoryRegistry,getFactory,Long Statement
