Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
opennlp,opennlp.tools.chunker,Chunker,chunk,0,1,2
opennlp,opennlp.tools.chunker,Chunker,chunkAsSpans,0,1,2
opennlp,opennlp.tools.chunker,Chunker,topKSequences,0,1,2
opennlp,opennlp.tools.chunker,Chunker,topKSequences,0,1,3
opennlp,opennlp.tools.chunker,ChunkerContextGenerator,getContext,0,1,4
opennlp,opennlp.tools.chunker,ChunkerCrossValidator,ChunkerCrossValidator,6,1,4
opennlp,opennlp.tools.chunker,ChunkerCrossValidator,evaluate,10,2,2
opennlp,opennlp.tools.chunker,ChunkerCrossValidator,getFMeasure,3,1,0
opennlp,opennlp.tools.chunker,ChunkerEvaluator,ChunkerEvaluator,4,1,2
opennlp,opennlp.tools.chunker,ChunkerEvaluator,processSample,6,1,1
opennlp,opennlp.tools.chunker,ChunkerEvaluator,getFMeasure,3,1,0
opennlp,opennlp.tools.chunker,ChunkerEventStream,ChunkerEventStream,4,1,2
opennlp,opennlp.tools.chunker,ChunkerEventStream,createEvents,15,3,1
opennlp,opennlp.tools.chunker,ChunkerFactory,ChunkerFactory,2,1,0
opennlp,opennlp.tools.chunker,ChunkerFactory,create,12,2,1
opennlp,opennlp.tools.chunker,ChunkerFactory,validateArtifactMap,2,1,0
opennlp,opennlp.tools.chunker,ChunkerFactory,getSequenceValidator,3,1,0
opennlp,opennlp.tools.chunker,ChunkerFactory,getContextGenerator,3,1,0
opennlp,opennlp.tools.chunker,ChunkerME,ChunkerME,10,2,2
opennlp,opennlp.tools.chunker,ChunkerME,ChunkerME,3,1,1
opennlp,opennlp.tools.chunker,ChunkerME,ChunkerME,3,1,1
opennlp,opennlp.tools.chunker,ChunkerME,chunk,6,1,2
opennlp,opennlp.tools.chunker,ChunkerME,chunkAsSpans,4,1,2
opennlp,opennlp.tools.chunker,ChunkerME,topKSequences,4,1,2
opennlp,opennlp.tools.chunker,ChunkerME,topKSequences,4,1,3
opennlp,opennlp.tools.chunker,ChunkerME,probs,3,1,1
opennlp,opennlp.tools.chunker,ChunkerME,probs,3,1,0
opennlp,opennlp.tools.chunker,ChunkerME,train,26,4,4
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,5,1,4
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,4
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,7,1,5
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,3
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,1
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,1
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,1
opennlp,opennlp.tools.chunker,ChunkerModel,ChunkerModel,3,1,1
opennlp,opennlp.tools.chunker,ChunkerModel,validateArtifactMap,9,3,0
opennlp,opennlp.tools.chunker,ChunkerModel,getChunkerModel,8,2,0
opennlp,opennlp.tools.chunker,ChunkerModel,getChunkerSequenceModel,17,4,0
opennlp,opennlp.tools.chunker,ChunkerModel,getDefaultFactory,3,1,0
opennlp,opennlp.tools.chunker,ChunkerModel,getFactory,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,ChunkSample,3,1,3
opennlp,opennlp.tools.chunker,ChunkSample,ChunkSample,6,1,3
opennlp,opennlp.tools.chunker,ChunkSample,getSentence,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,getTags,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,getPreds,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,getPhrasesAsSpanList,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,phrasesAsSpanList,29,7,3
opennlp,opennlp.tools.chunker,ChunkSample,validateArguments,3,2,3
opennlp,opennlp.tools.chunker,ChunkSample,nicePrint,22,8,0
opennlp,opennlp.tools.chunker,ChunkSample,toString,7,2,0
opennlp,opennlp.tools.chunker,ChunkSample,hashCode,3,1,0
opennlp,opennlp.tools.chunker,ChunkSample,equals,9,3,1
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,ChunkSampleSequenceStream,4,1,2
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,read,14,3,0
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,updateContext,3,1,2
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,reset,3,1,0
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,close,3,1,0
opennlp,opennlp.tools.chunker,ChunkSampleStream,ChunkSampleStream,3,1,1
opennlp,opennlp.tools.chunker,ChunkSampleStream,read,20,4,0
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,DefaultChunkerContextGenerator,2,1,0
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,3,1,5
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,44,5,4
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,getContext,5,1,4
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,validOutcome,14,4,2
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,validOutcome,7,2,2
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,validSequence,3,1,4
opennlp,opennlp.tools.cmdline,AbstractConverterTool,AbstractConverterTool,3,1,1
opennlp,opennlp.tools.cmdline,AbstractConverterTool,getShortDescription,23,7,0
opennlp,opennlp.tools.cmdline,AbstractConverterTool,createHelpString,3,1,2
opennlp,opennlp.tools.cmdline,AbstractConverterTool,getHelp,10,3,0
opennlp,opennlp.tools.cmdline,AbstractConverterTool,getHelp,3,1,1
opennlp,opennlp.tools.cmdline,AbstractConverterTool,run,29,5,2
opennlp,opennlp.tools.cmdline,AbstractCrossValidatorTool,AbstractCrossValidatorTool,3,1,2
opennlp,opennlp.tools.cmdline,AbstractEvaluatorTool,AbstractEvaluatorTool,3,1,2
opennlp,opennlp.tools.cmdline,AbstractEvaluatorTool,run,8,1,2
opennlp,opennlp.tools.cmdline,AbstractTrainerTool,AbstractTrainerTool,3,1,2
opennlp,opennlp.tools.cmdline,AbstractTrainerTool,createTerminationIOException,6,2,1
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,AbstractTypedParamTool,4,1,2
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,getHelp,12,3,1
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,0,1,3
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,10,1,3
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,ArgumentParser,parseArgument,16,3,3
opennlp,opennlp.tools.cmdline,ArgumentParser,ArgumentProxy,2,1,1
opennlp,opennlp.tools.cmdline,ArgumentParser,invoke,4,2,3
opennlp,opennlp.tools.cmdline,ArgumentParser,ArgumentParser,2,1,0
opennlp,opennlp.tools.cmdline,ArgumentParser,checkProxyInterfaces,20,9,1
opennlp,opennlp.tools.cmdline,ArgumentParser,methodNameToParameter,5,1,1
opennlp,opennlp.tools.cmdline,ArgumentParser,createUsage,3,1,1
opennlp,opennlp.tools.cmdline,ArgumentParser,Argument,2,1,4
opennlp,opennlp.tools.cmdline,ArgumentParser,createArguments,26,6,1
opennlp,opennlp.tools.cmdline,ArgumentParser,createUsage,37,11,1
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArguments,3,1,2
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArguments,3,1,2
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArgumentsLoudly,3,1,2
opennlp,opennlp.tools.cmdline,ArgumentParser,validateArgumentsLoudly,37,8,2
opennlp,opennlp.tools.cmdline,ArgumentParser,parse,23,7,2
opennlp,opennlp.tools.cmdline,ArgumentParser,filter,15,4,2
opennlp,opennlp.tools.cmdline,ArgumentFactory,parseArgument,0,1,3
opennlp,opennlp.tools.cmdline,IntegerArgumentFactory,parseArgument,10,1,3
opennlp,opennlp.tools.cmdline,BooleanArgumentFactory,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,StringArgumentFactory,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,FileArgumentFactory,parseArgument,3,1,3
opennlp,opennlp.tools.cmdline,CharsetArgumentFactory,parseArgument,16,3,3
opennlp,opennlp.tools.cmdline,BasicCmdLineTool,run,0,1,1
opennlp,opennlp.tools.cmdline,CLI,getToolNames,3,1,0
opennlp,opennlp.tools.cmdline,CLI,getToolLookupMap,3,1,0
opennlp,opennlp.tools.cmdline,CLI,usage,20,4,0
opennlp,opennlp.tools.cmdline,CLI,main,51,10,1
opennlp,opennlp.tools.cmdline,CmdLineTool,CmdLineTool,2,1,0
opennlp,opennlp.tools.cmdline,CmdLineTool,getName,8,2,0
opennlp,opennlp.tools.cmdline,CmdLineTool,hasParams,3,1,0
opennlp,opennlp.tools.cmdline,CmdLineTool,getBasicHelp,3,1,1
opennlp,opennlp.tools.cmdline,CmdLineTool,getBasicHelp,3,1,1
opennlp,opennlp.tools.cmdline,CmdLineTool,getHelp,0,1,0
opennlp,opennlp.tools.cmdline,CmdLineTool,validateAndParseParams,7,2,2
opennlp,opennlp.tools.cmdline,CmdLineTool,getShortDescription,3,1,0
opennlp,opennlp.tools.cmdline,CmdLineUtil,CmdLineUtil,2,1,0
opennlp,opennlp.tools.cmdline,CmdLineUtil,checkInputFile,15,5,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,checkOutputFile,30,8,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,openInFile,8,1,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,createInputStreamFactory,8,1,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,writeModel,14,1,3
opennlp,opennlp.tools.cmdline,CmdLineUtil,getParameterIndex,8,3,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,getParameter,10,3,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,getIntParameter,9,2,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,getDoubleParameter,9,2,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,checkLanguageCode,7,2,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,containsParam,8,3,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,handleStdinIoError,3,1,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,createObjectStreamError,3,1,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,handleCreateObjectStreamError,3,1,1
opennlp,opennlp.tools.cmdline,CmdLineUtil,loadTrainingParameters,20,4,2
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,asSpanArray,0,1,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,correctlyClassified,7,2,2
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,misclassified,20,5,2
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,addTruePositive,7,1,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,addFalsePositive,5,1,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,addFalseNegative,5,1,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,initStatsForOutcomeAndGet,6,2,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,3,1,0
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,createReport,15,2,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,toString,3,1,0
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,zeroOrPositive,6,2,1
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,compare,14,6,2
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,incrementFalsePositive,3,1,0
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,incrementTruePositive,3,1,0
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,incrementTarget,3,1,0
