Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
opennlp,opennlp.tools.chunker,Chunker,0,0,4,0,34,4,1,0,-1.0,4,0
opennlp,opennlp.tools.chunker,ChunkerContextGenerator,0,0,1,0,14,1,1,0,-1.0,4,0
opennlp,opennlp.tools.chunker,ChunkerCrossValidator,5,0,3,3,42,4,0,0,0.0,1,9
opennlp,opennlp.tools.chunker,ChunkerEvaluationMonitor,0,0,0,0,5,0,0,0,-1.0,2,0
opennlp,opennlp.tools.chunker,ChunkerEvaluator,2,0,3,2,36,3,0,0,0.0,2,4
opennlp,opennlp.tools.chunker,ChunkerEventStream,1,0,2,1,30,4,0,0,0.0,0,3
opennlp,opennlp.tools.chunker,ChunkerFactory,0,0,5,5,33,6,0,0,-1.0,6,2
opennlp,opennlp.tools.chunker,ChunkerME,5,1,10,9,111,14,0,1,0.2,8,17
opennlp,opennlp.tools.chunker,ChunkerModel,3,0,13,11,136,19,0,0,0.46153846153846156,9,5
opennlp,opennlp.tools.chunker,ChunkSample,4,0,12,11,138,29,0,0,0.0,9,2
opennlp,opennlp.tools.chunker,ChunkSampleSequenceStream,2,0,5,5,39,7,0,0,0.4,1,6
opennlp,opennlp.tools.chunker,ChunkSampleStream,1,0,2,2,33,5,0,0,1.0,0,1
opennlp,opennlp.tools.chunker,DefaultChunkerContextGenerator,0,0,4,4,62,8,0,1,-1.0,0,0
opennlp,opennlp.tools.chunker,DefaultChunkerSequenceValidator,0,0,3,1,29,7,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline,AbstractConverterTool,1,0,6,4,82,18,0,2,0.5,0,4
opennlp,opennlp.tools.cmdline,AbstractCrossValidatorTool,0,0,1,0,13,1,0,5,-1.0,0,0
opennlp,opennlp.tools.cmdline,AbstractEvaluatorTool,3,0,2,1,24,2,1,3,0.0,0,3
opennlp,opennlp.tools.cmdline,AbstractTrainerTool,1,0,2,0,20,3,1,4,1.0,0,1
opennlp,opennlp.tools.cmdline,AbstractTypedParamTool,1,0,2,1,30,4,1,2,0.0,0,4
opennlp,opennlp.tools.cmdline,ArgumentParser,3,0,21,15,312,63,0,0,0.6190476190476191,56,3
opennlp,opennlp.tools.cmdline,ArgumentFactory,1,0,1,0,4,1,5,0,-1.0,1,0
opennlp,opennlp.tools.cmdline,IntegerArgumentFactory,0,0,1,1,12,1,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,BooleanArgumentFactory,0,0,1,1,5,1,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,StringArgumentFactory,0,0,1,1,5,1,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,FileArgumentFactory,0,0,1,1,5,1,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,CharsetArgumentFactory,0,0,1,1,18,3,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,BasicCmdLineTool,0,0,1,1,10,1,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline,CLI,3,1,4,3,147,16,0,0,0.0,20,4
opennlp,opennlp.tools.cmdline,CmdLineTool,0,0,8,4,47,10,2,0,-1.0,2,2
opennlp,opennlp.tools.cmdline,CmdLineUtil,2,0,16,15,205,39,0,0,0.625,72,4
opennlp,opennlp.tools.cmdline,DetailedFMeasureListener,9,0,21,15,161,35,0,0,0.3333333333333333,0,2
opennlp,opennlp.tools.cmdline,F1Comparator,0,0,1,1,16,6,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline,Stats,3,0,9,9,56,10,0,0,0.0,2,0
opennlp,opennlp.tools.cmdline,EvaluationErrorPrinter,1,0,15,2,141,27,0,0,0.26666666666666666,0,1
opennlp,opennlp.tools.cmdline,FineGrainedReportListener,27,0,81,20,758,166,0,0,0.06172839506172839,1,5
opennlp,opennlp.tools.cmdline,MatrixLabelComparator,1,0,2,2,33,7,0,0,0.0,0,1
opennlp,opennlp.tools.cmdline,GroupedMatrixLabelComparator,2,0,2,2,74,16,0,0,0.0,0,1
opennlp,opennlp.tools.cmdline,SimpleLabelComparator,1,0,2,2,18,6,0,0,0.0,0,0
opennlp,opennlp.tools.cmdline,GroupedLabelComparator,2,0,2,2,74,16,0,0,0.0,0,1
opennlp,opennlp.tools.cmdline,ConfusionMatrixLine,5,0,4,2,48,9,0,0,0.0,3,1
opennlp,opennlp.tools.cmdline,Counter,1,0,2,1,12,2,0,0,0.0,3,0
opennlp,opennlp.tools.cmdline,Stats,12,0,29,4,206,48,0,0,0.2413793103448276,0,1
opennlp,opennlp.tools.cmdline,GenerateManualTool,2,0,12,1,157,29,0,0,0.0,1,7
opennlp,opennlp.tools.cmdline,ModelLoader,2,0,3,1,30,3,0,0,0.0,0,1
opennlp,opennlp.tools.cmdline,ObjectStreamFactory,0,0,2,0,12,2,0,0,-1.0,7,0
opennlp,opennlp.tools.cmdline,PerformanceMonitor,9,0,9,9,89,19,0,0,0.0,16,0
opennlp,opennlp.tools.cmdline,StreamFactoryRegistry,2,1,5,4,131,10,0,0,0.4,54,1
opennlp,opennlp.tools.cmdline,SystemInputStreamFactory,1,0,2,2,15,3,0,0,1.0,12,0
opennlp,opennlp.tools.cmdline,TerminateToolException,3,0,5,5,26,5,0,0,0.0,0,0
opennlp,opennlp.tools.cmdline,TypedCmdLineTool,1,0,8,3,83,14,2,1,0.375,1,4
opennlp,opennlp.tools.cmdline.chunker,ChunkerConverterTool,0,0,1,1,10,1,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.chunker,ChunkerCrossValidatorTool,1,0,3,3,40,5,0,0,1.0,0,5
opennlp,opennlp.tools.cmdline.chunker,CVToolParams,0,0,0,0,2,0,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.chunker,ChunkerDetailedFMeasureListener,0,0,1,0,5,1,0,0,-1.0,0,1
opennlp,opennlp.tools.cmdline.chunker,ChunkerEvaluatorTool,1,0,6,6,47,7,0,0,1.0,0,3
opennlp,opennlp.tools.cmdline.chunker,EvalToolParams,0,0,0,0,2,0,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.chunker,ChunkerMETool,1,0,3,3,41,5,0,0,0.6666666666666666,0,7
opennlp,opennlp.tools.cmdline.chunker,ChunkerModelLoader,0,0,2,1,11,2,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.chunker,ChunkerTrainerTool,0,0,4,4,38,5,0,0,-1.0,0,5
opennlp,opennlp.tools.cmdline.chunker,TrainerToolParams,0,0,0,0,2,0,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.chunker,ChunkEvaluationErrorListener,1,0,3,3,21,3,0,0,1.0,0,1
opennlp,opennlp.tools.cmdline.chunker,TrainingParams,0,0,1,0,6,1,2,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.dictionary,DictionaryBuilderParams,0,0,2,0,7,2,1,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.dictionary,DictionaryBuilderTool,0,0,3,3,25,3,0,0,-1.0,0,3
opennlp,opennlp.tools.cmdline.dictionary,Params,0,0,0,0,2,0,0,1,-1.0,1,0
opennlp,opennlp.tools.cmdline.doccat,DoccatConverterTool,0,0,1,1,10,1,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.doccat,DoccatCrossValidatorTool,1,0,3,3,65,7,0,0,1.0,0,8
opennlp,opennlp.tools.cmdline.doccat,CVToolParams,0,0,0,0,2,0,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.doccat,DoccatEvaluationErrorListener,1,0,3,3,21,3,0,0,1.0,0,1
opennlp,opennlp.tools.cmdline.doccat,DoccatEvaluatorTool,1,0,6,6,70,9,0,0,1.0,0,5
opennlp,opennlp.tools.cmdline.doccat,EvalToolParams,0,0,0,0,2,0,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.doccat,DoccatFineGrainedReportListener,1,0,6,5,32,6,0,0,0.6666666666666666,2,1
opennlp,opennlp.tools.cmdline.doccat,DoccatModelLoader,0,0,2,1,11,2,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.doccat,DoccatTool,1,0,3,3,37,5,0,0,0.6666666666666666,0,9
opennlp,opennlp.tools.cmdline.doccat,DoccatTrainerTool,0,0,4,3,47,7,0,0,-1.0,2,8
opennlp,opennlp.tools.cmdline.doccat,TrainerToolParams,0,0,0,0,2,0,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.doccat,TrainingParams,0,0,2,0,7,2,2,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.entitylinker,EntityLinkerTool,1,0,3,3,73,9,0,0,0.6666666666666666,0,9
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorConverterTool,0,0,1,1,10,1,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorCrossValidatorTool,1,0,3,3,64,7,0,0,1.0,1,7
opennlp,opennlp.tools.cmdline.langdetect,CVToolParams,0,0,0,0,2,0,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorEvaluationErrorListener,1,0,4,3,25,4,0,0,0.75,0,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorEvaluatorTool,1,0,6,6,70,9,0,0,1.0,1,6
opennlp,opennlp.tools.cmdline.langdetect,EvalToolParams,0,0,0,0,2,0,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorFineGrainedReportListener,0,0,6,5,31,6,0,0,-1.0,2,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorModelLoader,0,0,2,1,11,2,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorTool,1,0,3,3,35,5,0,0,0.6666666666666666,0,8
opennlp,opennlp.tools.cmdline.langdetect,LanguageDetectorTrainerTool,0,0,5,3,37,6,0,0,-1.0,1,6
opennlp,opennlp.tools.cmdline.langdetect,TrainerToolParams,0,0,2,0,4,2,0,1,-1.0,0,0
opennlp,opennlp.tools.cmdline.langdetect,TrainingParams,0,0,2,0,7,2,2,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.languagemodel,NGramLanguageModelTool,1,0,3,3,46,4,0,0,1.0,0,5
opennlp,opennlp.tools.cmdline.lemmatizer,LemmaEvaluationErrorListener,1,0,3,3,21,3,0,0,1.0,0,1
opennlp,opennlp.tools.cmdline.lemmatizer,LemmatizerEvaluatorTool,1,0,3,3,63,6,0,0,1.0,1,6
opennlp,opennlp.tools.cmdline.lemmatizer,EvalToolParams,0,0,0,0,2,0,0,0,-1.0,0,0
opennlp,opennlp.tools.cmdline.lemmatizer,LemmatizerFineGrainedReportListener,1,0,6,5,35,6,0,0,0.6666666666666666,1,1
